"entity","label","recurrence_n","pooled_monthly_cv","modal_peak_month","years_peaking_that_month","n_years","eligible_years_modal_month"
"stepinac","Alojzije Stepinac",7384,0.75,2,4,5,4
"vjeronauk","Religious instruction",12598,0.3,3,2,5,4
"katolicka_skola","Catholic schools",19671,0.25,4,1,5,4
"odgoj_vrijednosti","Upbringing and values",40073,0.32,12,4,5,5
"rituali","Catholic rituals",21507,0.39,8,4,5,5
"redovi_orders","Teaching orders",65468,0.26,12,2,5,5
"strossmayer","Josip Juraj Strossmayer",2460,0.4,3,1,5,4
