"entity","label","classified_coverage","confessional","non_confessional"
"stepinac","Alojzije Stepinac",0.374,0.698,0.302
"redovi_orders","Teaching orders",0.389,0.727,0.273
"odgoj_vrijednosti","Upbringing and values",0.405,0.734,0.266
"vjeronauk","Religious instruction",0.345,0.777,0.223
"katolicka_skola","Catholic schools",0.472,0.828,0.172
