"entity","n_sampled","polarity_docs","polarity_doc_coverage","polarity_token_coverage","emotion_docs","emotion_doc_coverage","mean_sentiment","nonneutral_share","Gađenje","Iznenađenje","Iščekivanje","Ljutnja","Povjerenje","Radost","Strah","Tuga"
"stepinac",971,970,0.999,0.533,967,0.996,-0.432,0.986,0.035,0.074,0.195,0.057,0.31,0.153,0.098,0.079
"vjeronauk",1137,1137,1,0.545,1137,1,-0.423,0.987,0.028,0.079,0.206,0.043,0.355,0.159,0.079,0.051
"katolicka_skola",1472,1472,1,0.553,1471,0.999,-0.417,0.989,0.027,0.075,0.204,0.04,0.367,0.155,0.078,0.054
"odgoj_vrijednosti",1956,1956,1,0.548,1955,0.999,-0.42,0.986,0.031,0.08,0.2,0.048,0.337,0.158,0.086,0.06
"redovi_orders",2223,2223,1,0.541,2222,1,-0.422,0.987,0.03,0.081,0.202,0.047,0.33,0.16,0.085,0.066
"rituali",1656,1656,1,0.543,1656,1,-0.42,0.986,0.024,0.091,0.21,0.039,0.319,0.181,0.075,0.061
"strossmayer",846,846,1,0.551,846,1,-0.405,0.985,0.029,0.078,0.216,0.043,0.343,0.152,0.079,0.06
