"FROM","total_posts","total_interactions","total_reach","stepinac_share","typology"
"logicno.com",62,9664,191148,0.0161290322580645,"Divovi"
"kucice.hr",61,227,3681,0,"Specijalizirani akteri"
"radiosamobor.hr",61,3189,44415,0.0655737704918033,"Specijalizirani akteri"
"hercegovina.info",60,8181,117513,0.0166666666666667,"Divovi"
"matica.hr",60,84,1716,0.0166666666666667,"Specijalizirani akteri"
"milosrdnice.hr",60,1,45,0.0666666666666667,"Specijalizirani akteri"
"noviradio.hr",60,665,16389,0.1,"Specijalizirani akteri"
"ogportal.com",60,2873,45879,0,"Specijalizirani akteri"
"radio1.hr",60,418,17898,0.0833333333333333,"Specijalizirani akteri"
"radiokrizevci.hr",60,2397,35433,0.05,"Specijalizirani akteri"
"radioorasje.com",60,729,9819,0.116666666666667,"Specijalizirani akteri"
"siscia.hr",60,2176,39978,0.216666666666667,"Specijalizirani akteri"
"antikvarijat-biblos.hr",59,0,348,0.0169491525423729,"Specijalizirani akteri"
"pozeska-kronika.hr",59,804,19326,0.0338983050847458,"Specijalizirani akteri"
"quirinusportal.com",58,739,18693,0.120689655172414,"Specijalizirani akteri"
"teklic.hr",58,2135,42675,0,"Specijalizirani akteri"
"livno-online.com",57,3257,53577,0.0526315789473684,"Specijalizirani akteri"
"posusje.info",57,2525,41361,0.0526315789473684,"Specijalizirani akteri"
"pozega.hr",57,34,398,0.0350877192982456,"Specijalizirani akteri"
"morski.hr",56,3484,57762,0.0178571428571429,"Specijalizirani akteri"
"ofs.hr",56,248,6626,0.0535714285714286,"Specijalizirani akteri"
"rva.hr",55,4999,66051,0,"Specijalizirani akteri"
"mraclin.hr",54,2318,35586,0.259259259259259,"Specijalizirani akteri"
"nbs-zg.hr",54,959,11763,0,"Specijalizirani akteri"
"gspress.eu",53,1316,36276,0.0566037735849057,"Specijalizirani akteri"
"nacionalno.hr",53,652,19098,0.0566037735849057,"Specijalizirani akteri"
"caritas.hr",52,128004,2015332,0.0961538461538462,"Divovi"
"bolji-ljubuski.com",51,1763,22326,0.0196078431372549,"Specijalizirani akteri"
"croexpress.eu",51,5761,80664,0.235294117647059,"Graditelji zajednica"
"dubrovnikpress.hr",51,904,18441,0.0196078431372549,"Specijalizirani akteri"
"radio-mreznica.hr",51,22246,286230,0.0980392156862745,"Divovi"
"totalno.hr",51,7872,314190,0.0392156862745098,"Divovi"
"tris.com.hr",51,16213,248529,0.117647058823529,"Divovi"
"vrisak.info",51,3698,52461,0.0588235294117647,"Specijalizirani akteri"
"jaskadanas.hr",50,2285,32499,0.62,"Specijalizirani akteri"
"krizevci.hr",50,61,1677,0.08,"Specijalizirani akteri"
"zadarskitjednik.hr",50,180,5670,0,"Specijalizirani akteri"
