"year","data_source","Freq"
"2021","filtered_religious",0
"2022","filtered_religious",0
"2023","filtered_religious",0
"2024","filtered_religious",14054
"2025","filtered_religious",32005
"2021","original_dta",22940
"2022","original_dta",22029
"2023","original_dta",23524
"2024","original_dta",2628
"2025","original_dta",0
