"entity","role","recurrence_n","past_anchor_doc","past_anchor_genuine","incidental_share","pooled_monthly_cv","modal_peak_month","years_peaking_that_month","n_years","eligible_years_modal_month","pct_classified","confessional_share_of_classified","confessional_lower_bound_all","confessional_upper_bound_all","n_sampled","polarity_token_coverage","emotion_doc_coverage","mean_sentiment","Ljutnja","Strah","Tuga","Gađenje","Povjerenje","Radost","anchor"
"odgoj_vrijednosti","spine",40073,0.403,0.09,0.313,0.32,12,4,5,5,0.405,0.734,0.297,0.892,1956,0.548,0.999,-0.42,0.048,0.086,0.06,0.031,0.337,0.158,"Upbringing and values"
"redovi_orders","spine",65468,0.284,0.08,0.204,0.26,12,2,5,5,0.389,0.727,0.283,0.894,2223,0.541,1,-0.422,0.047,0.085,0.066,0.03,0.33,0.16,"Teaching orders"
"katolicka_skola","spine",19671,0.339,0.062,0.278,0.25,4,1,5,4,0.472,0.828,0.39,0.919,1472,0.553,0.999,-0.417,0.04,0.078,0.054,0.027,0.367,0.155,"Catholic schools"
"vjeronauk","spine",12598,0.283,0.056,0.227,0.3,3,2,5,4,0.345,0.777,0.268,0.923,1137,0.545,1,-0.423,0.043,0.079,0.051,0.028,0.355,0.159,"Religious instruction"
"stepinac","spine",7384,0.534,0.232,0.301,0.75,2,4,5,4,0.374,0.698,0.261,0.887,971,0.533,0.996,-0.432,0.057,0.098,0.079,0.035,0.31,0.153,"Alojzije Stepinac"
"strossmayer","spine",2460,0.291,0.049,0.243,0.4,3,1,5,4,0.235,0.779,0.183,0.948,846,0.551,1,-0.405,0.043,0.079,0.06,0.029,0.343,0.152,"Josip Juraj Strossmayer"
"stadler","spine",673,0.37,0.052,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Josip Stadler"
"petkovic_marija","spine",254,0.409,0.039,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marija Petković"
