HR;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
stjecanje;1;0;0;1;0;0;0;0;0;0
akrobat;1;0;0;0;0;1;1;0;0;1
djelovanje;1;0;0;0;0;0;0;0;0;0
akcija;1;0;0;0;0;0;0;0;0;0
utuživ;0;1;1;0;1;0;0;0;0;0
stvaran;1;0;0;0;0;0;0;0;0;0
pravi;1;0;0;0;0;0;0;0;0;0
zbiljski;1;0;0;0;0;0;0;0;0;0
realan;1;0;0;0;0;0;0;0;0;0
oštrina;1;0;0;0;0;0;0;0;0;0
oštroumnost;1;0;0;0;0;0;0;0;0;0
pronicljivost;1;0;0;0;0;0;0;0;0;0
prilagoditi;1;0;0;0;0;0;0;0;0;0
prilagodljiv;1;0;0;0;0;0;0;0;0;0
guja;0;1;1;0;1;1;0;1;0;0
ovisnost;0;1;0;0;0;0;0;0;0;0
adrese;1;0;0;1;0;0;0;0;0;0
vješt;1;0;0;0;0;0;0;0;0;0
dostatnost;1;0;0;0;0;0;0;0;0;0
primjerenost;1;0;0;0;0;0;0;0;0;0
pridržavaju?i se;0;0;0;0;0;0;0;0;0;1
drže?i se;0;0;0;0;0;0;0;0;0;1
mastan;0;1;0;0;0;0;0;0;0;0
presuditi;0;1;0;0;0;1;0;0;0;0
dodatak;1;0;0;0;0;0;0;0;0;0
upravni;0;0;0;0;0;0;0;0;0;1
administrativni;0;0;0;0;0;0;0;0;0;1
hvale vrijedan;1;0;0;0;0;0;1;0;0;1
admiral;1;0;0;0;0;0;0;0;0;1
divljenje;1;0;0;0;0;0;1;0;0;1
diviti se;1;0;0;0;0;0;0;0;0;1
obožavatelj;1;0;0;0;0;0;0;0;0;0
dopustiv;1;0;0;0;0;0;0;0;0;1
prihvatljiv;1;0;0;0;0;0;0;0;0;1
opomena;0;1;0;0;0;1;0;0;0;0
upozorenje;0;1;0;0;0;1;0;0;0;0
divan;1;0;0;0;0;0;1;0;0;0
ljubak;1;0;0;0;0;0;1;0;0;0
obožavanje;1;0;0;0;0;0;1;0;0;1
divljenje;1;0;0;0;0;0;1;0;0;1
obožavati;1;0;0;1;0;0;1;0;0;1
zalutao;0;1;0;1;0;1;0;1;0;0
prepušten sam sebi;0;1;0;1;0;1;0;1;0;0
izvrnut;0;1;0;0;0;0;0;0;0;0
iskrivljen;0;1;0;0;0;0;0;0;0;0
preljubništvo;0;1;0;0;1;0;0;1;0;0
preljub;0;1;0;0;1;0;0;1;0;0
napredovati;1;0;0;1;0;1;1;0;1;0
unaprijediti;1;0;0;1;0;1;1;0;1;0
poboljšati;1;0;0;1;0;1;1;0;1;0
napredan;1;0;0;0;0;0;0;0;0;0
napredak;1;0;0;0;0;0;0;0;0;0
prednost;1;0;0;0;0;0;0;0;0;0
blagodat;1;0;0;0;0;0;0;0;0;0
korist;1;0;0;0;0;0;0;0;0;0
povoljan;1;0;0;0;0;0;0;0;0;0
koristan;1;0;0;0;0;0;0;0;0;0
dolazak;1;0;0;1;0;0;1;0;0;1
pojava;1;0;0;1;0;0;1;0;0;1
avantura;1;0;0;1;0;0;0;0;0;0
pustolovina;1;0;0;1;0;0;0;0;0;0
pustolovan;1;0;0;0;0;0;0;0;0;0
protivnik;0;1;1;0;0;0;0;0;0;0
suparnik;0;1;1;0;0;0;0;0;0;0
štetan;0;1;1;0;1;1;0;1;0;0
nepovoljan;0;1;1;0;1;1;0;1;0;0
protivni?ki;0;1;1;0;1;1;0;1;0;0
neda?a;0;1;1;0;0;1;0;1;0;0
nevolja;0;1;1;0;0;1;0;1;0;0
savjet;0;0;0;0;0;0;0;0;0;1
preporu?ljiv;1;0;0;0;0;0;0;0;0;1
savjetovati;1;0;0;0;0;0;0;0;0;1
savjetovan;0;0;0;0;0;0;0;0;0;1
savjetnik;1;0;0;0;0;0;0;0;0;1
zagovaranje;1;0;1;1;0;0;1;0;0;1
propagiranje;1;0;1;1;0;0;1;0;0;1
pristalica;0;0;0;0;0;0;0;0;0;1
pobornik;0;0;0;0;0;0;0;0;0;1
zagovornik;0;0;0;0;0;0;0;0;0;1
estetski;1;0;0;0;0;0;0;0;0;0
estetika;1;0;0;0;0;0;1;0;0;0
ljubazan;1;0;0;0;0;0;0;0;0;0
ljubav;1;0;0;0;0;0;1;0;0;1
naklonost;1;0;0;0;0;0;1;0;0;1
sklonost;1;0;0;0;0;0;1;0;0;1
privrženost;1;0;0;0;0;0;1;0;0;1
povezan;1;0;0;0;0;0;0;0;0;0
udružen;1;0;0;0;0;0;0;0;0;0
potvrditi;1;0;0;0;0;0;0;0;0;1
potvr?ivanje;1;0;0;0;0;0;0;0;0;0
potvrda;1;0;0;0;0;0;0;0;0;0
potvrdan;1;0;0;0;0;0;0;0;0;0
potvrdno;1;0;0;0;0;0;0;0;0;1
povrijediti;0;1;0;0;0;1;0;1;0;0
