"layer","sample_rows","sample_rows_year","in_corpus_rows_year","membership_rate","corpus_year_rows","effective_rate"
"teme",20658,6203,6203,1,124346,0.049884998311164
"ton",8250,2479,2479,1,124346,0.0199363067569524
