"arc","start","end","days","peak_posts","peak_day","peak_z","arc_posts"
1,"2025-04-20","2025-04-23",4,2825,"2025-04-21",12.0268753634594,6484
2,"2025-04-26","2025-04-26",1,1320,"2025-04-26",4.70094755762699,1320
3,"2025-08-15","2025-08-15",1,1045,"2025-08-15",3.36232287549814,1045
4,"2025-12-25","2025-12-25",1,1031,"2025-12-25",3.29417470986249,1031
