"date","posts","collected","z","dow","arc"
"2025-04-20",1065,TRUE,3.45967739783478,"7",1
"2025-04-21",2825,TRUE,12.0268753634594,"1",1
"2025-04-22",1549,TRUE,5.81565683838156,"2",1
"2025-04-23",1045,TRUE,3.36232287549814,"3",1
"2025-04-26",1320,TRUE,4.70094755762699,"6",2
"2025-08-15",1045,TRUE,3.36232287549814,"5",3
"2025-12-25",1031,TRUE,3.29417470986249,"4",4
