"SOURCE_TYPE","actors","median_interactions_per_post","platform_hr"
"tiktok",2,1079.5,"TikTok"
"instagram",3,413.5,"Instagram"
"youtube",217,50.7777777777778,"YouTube"
"facebook",281,48.8775510204082,"Facebook"
"web",363,19.375,"Web"
"twitter",9,4.46,"Twitter/X"
