"quadrant","actors","quadrant_hr","share"
"visok_visok",396,"Visoke interakcije i visok doseg",0.452571428571429
"visok_nizak",44,"Visoke interakcije, niži doseg",0.0502857142857143
"nizak_visok",44,"Niže interakcije, visok doseg",0.0502857142857143
"nizak_nizak",391,"Niže interakcije i niži doseg",0.446857142857143
