"label","label_hr","sources","posts","interactions","share_of_all","share_of_classified"
"confessional","Konfesionalni izvori",26,26948,3404218,0.216717867884773,0.628056028153914
"secular","Sekularni izvori",32,15959,2705182,0.128343493156193,0.371943971846086
"other","Ostalo (označeno, ali ni jedno ni drugo)",22,411,640897,0.00330529329451691,
"unclassified","Neoznačeni izvori",5734,81028,6220082,0.651633345664517,
