"dominant_emotion","docs","share"
"Povjerenje",1613,0.650665590964098
"Iščekivanje",337,0.135941912061315
"Radost",245,0.0988301734570391
"Strah",165,0.0665590964098427
"Tuga",49,0.0197660346914078
"Ljutnja",41,0.0165389269866882
"Gađenje",12,0.00484066155707947
"Iznenađenje",10,0.00403388463089956
"Neutralno",7,0.00282371924162969
