"dominant_topic","n_docs","sentiment_mean","sentiment_sd","cli_mean","sentiment_lower","sentiment_upper","topic_hr","reportable"
"DUHOVNOST_I_LITURGIJA",1270,0.674412189874908,0.342400702596772,71.4223117074761,0.655580518881382,0.693243860868434,"Duhovnost i liturgija",TRUE
"CRKVENO_UPRAVLJANJE_I_STRUKTURA",581,0.569621445158234,0.467578377777274,76.1454048439808,0.531600542346181,0.607642347970287,"Crkveno upravljanje i struktura",TRUE
"BIOETIKA_I_KULTURNI_RATOVI",133,0.586216649406509,0.28931189927185,98.3404281769477,0.537047063903035,0.635386234909983,"Bioetika i kulturni ratovi",TRUE
"PAPE_I_VATIKAN",119,0.430574604800165,0.413172313316569,94.3221435784312,0.356338734828495,0.504810474771835,"Pape i Vatikan",TRUE
"POVIJEST_I_NACIONALNI_IDENTITET",115,0.378223112276574,0.352237575938993,95.3974082616844,0.313844318568193,0.442601905984955,"Povijest i nacionalni identitet",TRUE
"POLITIKA_I_ODNOS_S_DRZAVOM",76,0.434083546340181,0.378915488039809,85.7830441652395,0.348892955071877,0.519274137608484,"Politika i odnos s državom",TRUE
"MEDIJI_UMJETNOST_I_KULTURA",69,0.747749493923836,0.249587739772567,63.2825142321116,0.688857701298188,0.806641286549484,"Mediji, umjetnost i kultura",TRUE
"TEOLOGIJA_I_DOKTRINA",41,0.575951522031761,0.292042134346026,73.0657218279695,0.4865572572802,0.665345786783322,"Teologija i doktrina",TRUE
"KARITAS_I_SOCIJALNA_PRAVDA",29,0.540335437193531,0.355892405511944,73.6279185566633,0.410803818425009,0.669867055962053,"Karitas i socijalna pravda",FALSE
"DIGITALNA_EVANGELIZACIJA_I_MLADI",14,0.723272912270657,0.264071299767646,59.1155743153485,0.584943906153172,0.861601918388142,"Digitalna evangelizacija i mladi",FALSE
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",9,0.814814666358057,0.293972305208228,44.1374137540997,0.622752760288682,1.00687657242743,"Odnos s drugim religijama i pogledima",FALSE
"GLOBALNA_CRKVA_I_MISIJE",4,0.954545246556533,0.0909090018366541,76.3943472537536,0.865454424756612,1.04363606835645,"Globalna Crkva i misije",FALSE
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA",3,0.222222212962963,0.192450081711122,120.542178119207,0.00444444425925927,0.439999981666667,"Zlostavljanje i kriza povjerenja",FALSE
"ZNANOST_I_VJERA",3,0.676413125651236,0.283208255858011,88.361951306862,0.355932814648795,0.996893436653676,"Znanost i vjera",FALSE
"CRKVENE_FINANCIJE_I_IMOVINA",1,0.99999990000001,,143.67816091954,,,"Crkvene financije i imovina",FALSE
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",1,0.666666555555574,,81.0810810810811,,,"Unutarcrkveni prijepori i ideologije",FALSE
