"date","posts","collected","z","dow"
"2025-01-01",205,TRUE,-0.726567062640897,"3"
"2025-01-02",246,TRUE,-0.526990291850778,"4"
"2025-01-03",308,TRUE,-0.225191272607182,"5"
"2025-01-04",259,TRUE,-0.463709852331959,"6"
"2025-01-05",238,TRUE,-0.565932100785435,"7"
"2025-01-06",557,TRUE,0.986872530484031,"1"
"2025-01-07",466,TRUE,0.543909453852303,"2"
"2025-01-08",313,TRUE,-0.200852642023021,"3"
"2025-01-09",294,TRUE,-0.293339438242833,"4"
"2025-01-10",269,TRUE,-0.415032591163637,"5"
"2025-01-11",196,TRUE,-0.770376597692387,"6"
"2025-01-12",196,TRUE,-0.770376597692387,"7"
"2025-01-13",243,TRUE,-0.541593470201274,"1"
"2025-01-14",405,TRUE,0.246978160725539,"2"
"2025-01-15",260,TRUE,-0.458842126215127,"3"
"2025-01-16",283,TRUE,-0.346884425527987,"4"
"2025-01-17",273,TRUE,-0.395561686696309,"5"
"2025-01-18",191,TRUE,-0.794715228276548,"6"
"2025-01-19",243,TRUE,-0.541593470201274,"7"
"2025-01-20",318,TRUE,-0.17651401143886,"1"
"2025-01-21",113,TRUE,-1.17439786538946,"2"
"2025-01-22",146,TRUE,-1.013762903534,"3"
"2025-01-23",163,TRUE,-0.931011559547849,"4"
"2025-01-24",134,TRUE,-1.07217561693598,"5"
"2025-01-25",101,TRUE,-1.23281057879144,"6"
"2025-01-26",128,TRUE,-1.10138197363698,"7"
"2025-01-27",150,TRUE,-0.994291999066667,"1"
"2025-01-28",279,TRUE,-0.366355329995316,"2"
"2025-01-29",304,TRUE,-0.244662177074511,"3"
"2025-01-30",287,TRUE,-0.327413521060658,"4"
"2025-01-31",262,TRUE,-0.449106673981463,"5"
"2025-02-01",310,TRUE,-0.215455820373518,"6"
"2025-02-02",376,TRUE,0.105814103337406,"7"
"2025-02-03",423,TRUE,0.334597230828519,"1"
"2025-02-04",317,TRUE,-0.181381737555693,"2"
"2025-02-05",286,TRUE,-0.33228124717749,"3"
"2025-02-06",314,TRUE,-0.195984915906189,"4"
"2025-02-07",332,TRUE,-0.10836584580321,"5"
"2025-02-08",245,TRUE,-0.53185801796761,"6"
"2025-02-09",337,TRUE,-0.084027215219049,"7"
"2025-02-10",567,TRUE,1.03554979165235,"1"
"2025-02-11",381,TRUE,0.130152733921567,"2"
"2025-02-12",282,TRUE,-0.351752151644819,"3"
"2025-02-13",253,TRUE,-0.492916209032952,"4"
"2025-02-14",363,TRUE,0.0425336638185878,"5"
"2025-02-15",262,TRUE,-0.449106673981463,"6"
"2025-02-16",251,TRUE,-0.502651661266617,"7"
"2025-02-17",343,TRUE,-0.0548208585180559,"1"
"2025-02-18",364,TRUE,0.04740138993542,"2"
"2025-02-19",406,TRUE,0.251845886842372,"3"
"2025-02-20",469,TRUE,0.558512632202799,"4"
"2025-02-21",361,TRUE,0.0327982115849234,"5"
"2025-02-22",322,TRUE,-0.157043106971532,"6"
"2025-02-23",349,TRUE,-0.0256145018170628,"7"
"2025-02-24",417,TRUE,0.305390874127526,"1"
"2025-02-25",458,TRUE,0.504967644917645,"2"
"2025-02-26",386,TRUE,0.154491364505728,"3"
"2025-02-27",333,TRUE,-0.103498119686378,"4"
"2025-02-28",392,TRUE,0.183697721206721,"5"
"2025-03-01",314,TRUE,-0.195984915906189,"6"
"2025-03-02",339,TRUE,-0.0742917629853846,"7"
"2025-03-03",379,TRUE,0.120417281687903,"1"
"2025-03-04",377,TRUE,0.110681829454238,"2"
"2025-03-05",579,TRUE,1.09396250505434,"3"
"2025-03-06",470,TRUE,0.563380358319631,"4"
"2025-03-07",338,TRUE,-0.0791594891022168,"5"
"2025-03-08",284,TRUE,-0.342016699411155,"6"
"2025-03-09",344,TRUE,-0.0499531324012237,"7"
"2025-03-10",447,TRUE,0.451422657632491,"1"
"2025-03-11",400,TRUE,0.222639530141379,"2"
"2025-03-12",369,TRUE,0.0717400205195809,"3"
"2025-03-13",364,TRUE,0.04740138993542,"4"
"2025-03-14",344,TRUE,-0.0499531324012237,"5"
"2025-03-15",283,TRUE,-0.346884425527987,"6"
"2025-03-16",326,TRUE,-0.137572202504203,"7"
"2025-03-17",432,TRUE,0.378406765880008,"1"
"2025-03-18",388,TRUE,0.164226816739392,"2"
"2025-03-19",454,TRUE,0.485496740450316,"3"
"2025-03-20",321,TRUE,-0.161910833088364,"4"
"2025-03-21",383,TRUE,0.139888186155231,"5"
"2025-03-22",406,TRUE,0.251845886842372,"6"
"2025-03-23",379,TRUE,0.120417281687903,"7"
"2025-03-24",398,TRUE,0.212904077907714,"1"
"2025-03-25",378,TRUE,0.115549555571071,"2"
"2025-03-26",354,TRUE,-0.00127587123290186,"3"
