"dominant_emotion","docs","share"
"Povjerenje",755,0.665784832451499
"Iščekivanje",167,0.147266313932981
"Radost",109,0.0961199294532628
"Strah",63,0.0555555555555556
"Ljutnja",16,0.0141093474426808
"Tuga",11,0.00970017636684303
"Gađenje",6,0.00529100529100529
"Iznenađenje",4,0.00352733686067019
"Neutralno",3,0.00264550264550265
