"arc","start","end","days","peak_posts","peak_day","peak_z","arc_posts"
2,"2024-12-24","2024-12-25",2,1050,"2024-12-25",7.18117275575406,1766
1,"2024-08-15","2024-08-15",1,806,"2024-08-15",4.92028977752954,806
