"layer","sample_rows","sample_rows_year","in_corpus_rows_year","membership_rate","corpus_year_rows","effective_rate"
"teme",20658,2839,2839,1,56923,0.049874391722151
"ton",8250,1134,1134,1,56923,0.0199216485427683
