"topic","topic_hr","mentions","docs_dominant","share_of_mentions","share_of_docs","docs_ci_lower","docs_ci_upper","rank"
"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",27559,1459,0.335235013623978,0.513913349771046,0.495521814702646,0.532267283333363,1
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",19121,684,0.232592934994161,0.24092990489609,0.225555882257499,0.257004077097315,2
"BIOETIKA_I_KULTURNI_RATOVI","Bioetika i kulturni ratovi",10047,189,0.122214383028416,0.0665727368791828,0.057976243027863,0.076340589040252,3
"POVIJEST_I_NACIONALNI_IDENTITET","Povijest i nacionalni identitet",7647,127,0.0930201440249124,0.0447340612891863,0.0377254479962143,0.052973052977405,4
"POLITIKA_I_ODNOS_S_DRZAVOM","Politika i odnos s državom",3631,82,0.0441684507590502,0.0288834096512857,0.0233307219626188,0.0357093128940279,5
"KARITAS_I_SOCIJALNA_PRAVDA","Karitas i socijalna pravda",2954,47,0.035933242506812,0.0165551250440296,0.0124726840681099,0.0219440993642247,6
"MEDIJI_UMJETNOST_I_KULTURA","Mediji, umjetnost i kultura",2569,80,0.03125,0.0281789362451567,0.0227000448494289,0.0349329470686857,7
"TEOLOGIJA_I_DOKTRINA","Teologija i doktrina",2423,60,0.0294740171272869,0.0211342021838676,0.0164546252383552,0.0271079372944382,8
"PAPE_I_VATIKAN","Pape i Vatikan",1683,55,0.0204724601012067,0.0193730186685453,0.0149143557630887,0.0251305994233744,9
"DIGITALNA_EVANGELIZACIJA_I_MLADI","Digitalna evangelizacija i mladi",1255,20,0.0152661541455819,0.00704473406128919,0.00456505783854542,0.0108566459236056,10
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","Zlostavljanje i kriza povjerenja",839,4,0.0102058193849747,0.00140894681225784,0.000548044063176402,0.00361731619071773,11
"GLOBALNA_CRKVA_I_MISIJE","Globalna Crkva i misije",785,6,0.00954894900739587,0.00211342021838676,0.000968948217321665,0.00460345497510458,12
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","Odnos s drugim religijama i pogledima",625,9,0.00760266640716232,0.00317013032758013,0.00166873175942366,0.00601423584080076,13
"CRKVENE_FINANCIJE_I_IMOVINA","Crkvene financije i imovina",591,3,0.00718908135461269,0.00105671010919338,0.000359440420628084,0.00310239836399999,14
"ZNANOST_I_VJERA","Znanost i vjera",358,4,0.00435480731802258,0.00140894681225784,0.000548044063176402,0.00361731619071773,15
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE","Unutarcrkveni prijepori i ideologije",121,0,0.00147187621642663,0,0,0.0013512743768299,16
