"source_key","display_name","entity","label","posts","interactions","reach","platforms","rank","share_of_year","name_hr"
"hkm.hr","hkm.hr","","confessional",7163,199484,2946480,"web",1,12.5836656536022,"hkm.hr"
"bitno.net","bitno.net","Bitno.net","confessional",1806,408878,10485840,"facebook+web",2,3.17270699014458,"Bitno.net"
"pulherissimus","pulherissimus","","unclassified",1415,412539,4171799,"youtube",3,2.48581417001915,"pulherissimus"
"novizivot.net","novizivot.net","","confessional",1292,334467,4467843,"web",4,2.26973279693621,"novizivot.net"
"laudato.hr","laudato.hr","Laudato","confessional",1221,89124,1110807,"web",5,2.14500289865257,"Laudato"
"vjera u nama †","VJERA U NAMA †","","confessional",806,20380,1968965,"facebook",6,1.415947859389,"VJERA U NAMA †"
"net.hr","net.hr","Net.hr","secular",766,106719,5251941,"facebook+web",7,1.34567749415878,"Net.hr"
"slobodnadalmacija.hr","slobodnadalmacija.hr","Slobodna Dalmacija","secular",703,103463,3326397,"web",8,1.23500166892117,"Slobodna Dalmacija"
"laudatotv","LaudatoTV","Laudato","confessional",591,25304,910178,"youtube",9,1.03824464627655,"Laudato"
"radio marija hrvatska","Radio Marija Hrvatska","","confessional",518,17944,1268053,"facebook",10,0.910001229731392,"Radio Marija Hrvatska"
"index.hr","index.hr","Index","secular",467,115949,6743012,"facebook+web",11,0.820406514062857,"Index"
"vecernji.hr","vecernji.hr","Večernji list","secular",373,77841,2455179,"web",12,0.655271155771832,"Večernji list"
"24sata.hr","24sata.hr","24sata","secular",342,59541,2346507,"web",13,0.600811622718409,"24sata"
"dnevno.hr","dnevno.hr","","secular",337,116627,4320857,"facebook+web",14,0.592027827064631,"dnevno.hr"
"zagrebačka nadbiskupija","Zagrebačka nadbiskupija","Zagrebačka nadbiskupija","confessional",323,29238,1460086,"facebook+youtube",15,0.567433199234053,"Zagrebačka nadbiskupija"
"jutarnji.hr","jutarnji.hr","Jutarnji list","secular",316,40792,2565990,"web",16,0.555135885318764,"Jutarnji list"
"laudato","Laudato","Laudato","confessional",310,80497,6125340,"facebook",17,0.54459533053423,"Laudato"
"kapljice ljubavi božje","Kapljice ljubavi Božje","","confessional",304,26806,2112589,"facebook",18,0.534054775749697,"Kapljice ljubavi Božje"
"dalmatinskiportal.hr","dalmatinskiportal.hr","","secular",273,34559,586620,"web",19,0.479595242696274,"dalmatinskiportal.hr"
"dnevnik.hr","dnevnik.hr","Dnevnik.hr","secular",241,94858,3682793,"facebook+web",20,0.423378950512095,"Dnevnik.hr"
"kraljica mira","Kraljica Mira","","confessional",232,13157,3189621,"facebook",21,0.407568118335295,"Kraljica Mira"
"pod smokvom","Pod Smokvom","","confessional",204,76527,536693,"youtube",22,0.358378862674139,"Pod Smokvom"
"nova eva","Nova Eva","","confessional",199,20597,876943,"youtube",23,0.349595067020361,"Nova Eva"
"tportal.hr","tportal.hr","","secular",196,2338,390438,"web",24,0.344324789628094,"tportal.hr"
"narod.hr","narod.hr","","secular",187,10401,369986,"facebook+web",25,0.328513957451294,"narod.hr"
"mnovine.hr","mnovine.hr","","secular",169,8469,229923,"web",26,0.296892293097693,"mnovine.hr"
"gospa","Gospa","","confessional",145,52046,2755361,"facebook",27,0.254730073959559,"Gospa"
"telegram.hr","telegram.hr","","secular",112,21235,666828,"facebook+web",28,0.196757022644625,"telegram.hr"
"vjera","VJERA","","confessional",104,46069,2170006,"facebook",29,0.182702949598581,"VJERA"
"stopama padre pija","Stopama Padre Pija","","confessional",78,20550,126611,"youtube",30,0.137027212198935,"Stopama Padre Pija"
"slobodna dalmacija","Slobodna Dalmacija","Slobodna Dalmacija","secular",72,23106,2174659,"facebook",31,0.126486657414402,"Slobodna Dalmacija"
"večernji list","Večernji list","Večernji list","secular",39,8974,1371971,"facebook+youtube",32,0.0685136060994677,"Večernji list"
"bog je tu","Bog Je Tu","","confessional",33,32982,1254821,"youtube",33,0.0579730513149342,"Bog Je Tu"
"rtl","RTL","RTL","secular",30,2114,165824,"youtube",34,0.0527027739226675,"RTL"
"hrana za dušu","Hrana za dušu","","confessional",28,4594,84457,"youtube",35,0.0491892556611563,"Hrana za dušu"
"caritas.hr","caritas.hr","","confessional",26,11895,185831,"web",36,0.0456757373996451,"caritas.hr"
"budifrajer","budiFRAjer","","confessional",25,24312,666533,"youtube",37,0.0439189782688896,"budiFRAjer"
"24sata","24sata","24sata","secular",19,5732,1992705,"facebook",38,0.0333784234843561,"24sata"
"dijete vjere","Dijete Vjere","Dijete Vjere","confessional",13,1131,18824,"youtube",39,0.0228378686998226,"Dijete Vjere"
"jutarnji","Jutarnji","Jutarnji list","secular",7,1449,348154,"facebook",40,0.0122973139152891,"Jutarnji list"
"vlada republike hrvatske","Vlada Republike Hrvatske","","secular",5,156,56430,"twitter",41,0.00878379565377791,"Vlada Republike Hrvatske"
