"label","label_hr","sources","posts","interactions","share_of_all","share_of_classified"
"confessional","Konfesionalni izvori",22,15440,1537507,0.271243609788662,0.767662705712723
"secular","Sekularni izvori",24,4673,851582,0.0820933541802084,0.232337294287277
"other","Ostalo (označeno, ali ni jedno ni drugo)",11,187,375235,0.00328513957451294,
"unclassified","Neoznačeni izvori",3341,36623,2576387,0.643377896456617,
