"quadrant","actors","quadrant_hr","share"
"visok_visok",232,"Visoke interakcije i visok doseg",0.457593688362919
"visok_nizak",23,"Visoke interakcije, niži doseg",0.0453648915187377
"nizak_visok",23,"Niže interakcije, visok doseg",0.0453648915187377
"nizak_nizak",229,"Niže interakcije i niži doseg",0.451676528599605
