"date","posts","collected","z","dow"
"2024-06-03",209,TRUE,-0.61146078804441,"1"
"2024-06-04",166,TRUE,-1.00989508338726,"2"
"2024-06-05",267,TRUE,-0.0740377850238255,"3"
"2024-06-06",216,TRUE,-0.546599391128132,"4"
"2024-06-07",254,TRUE,-0.194494665011198,"5"
"2024-06-08",192,TRUE,-0.768981323412512,"6"
"2024-06-09",142,TRUE,-1.23227701567164,"7"
"2024-06-10",222,TRUE,-0.491003908057037,"1"
"2024-06-11",176,TRUE,-0.917235944935432,"2"
"2024-06-12",169,TRUE,-0.982097341851709,"3"
"2024-06-13",200,TRUE,-0.694854012651052,"4"
"2024-06-14",182,TRUE,-0.861640461864337,"5"
"2024-06-15",138,TRUE,-1.26934067105237,"6"
"2024-06-16",108,TRUE,-1.54731808640784,"7"
"2024-06-17",208,TRUE,-0.620726701889592,"1"
"2024-06-18",181,TRUE,-0.870906375709519,"2"
"2024-06-19",151,TRUE,-1.14888379106499,"3"
"2024-06-20",206,TRUE,-0.639258529579957,"4"
"2024-06-21",169,TRUE,-0.982097341851709,"5"
"2024-06-22",125,TRUE,-1.38979755103974,"6"
"2024-06-23",153,TRUE,-1.13035196337463,"7"
"2024-06-24",199,TRUE,-0.704119926496235,"1"
"2024-06-25",164,TRUE,-1.02842691107762,"2"
"2024-06-26",169,TRUE,-0.982097341851709,"3"
"2024-06-27",146,TRUE,-1.19521336029091,"4"
"2024-06-28",211,TRUE,-0.592928960354045,"5"
"2024-06-29",191,TRUE,-0.778247237257695,"6"
"2024-06-30",157,TRUE,-1.0932883079939,"7"
"2024-07-01",320,TRUE,0.417055648770846,"1"
"2024-07-02",336,TRUE,0.565310270293766,"2"
"2024-07-03",409,TRUE,1.24172198099209,"3"
"2024-07-04",359,TRUE,0.778426288732963,"4"
"2024-07-05",296,TRUE,0.194673716486467,"5"
"2024-07-06",240,TRUE,-0.324217458843753,"6"
"2024-07-07",254,TRUE,-0.194494665011198,"7"
"2024-07-08",261,TRUE,-0.12963326809492,"1"
"2024-07-09",247,TRUE,-0.259356061927475,"2"
"2024-07-10",273,TRUE,-0.0184423019527305,"3"
"2024-07-11",203,TRUE,-0.667056271115505,"4"
"2024-07-12",223,TRUE,-0.481737994211855,"5"
"2024-07-13",240,TRUE,-0.324217458843753,"6"
"2024-07-14",196,TRUE,-0.731917668031782,"7"
"2024-07-15",245,TRUE,-0.27788788961784,"1"
"2024-07-16",237,TRUE,-0.3520152003793,"2"
"2024-07-17",227,TRUE,-0.444674338831125,"3"
"2024-07-18",194,TRUE,-0.750449495722147,"4"
"2024-07-19",200,TRUE,-0.694854012651052,"5"
"2024-07-20",174,TRUE,-0.935767772625797,"6"
"2024-07-21",181,TRUE,-0.870906375709519,"7"
"2024-07-22",252,TRUE,-0.213026492701563,"1"
"2024-07-23",209,TRUE,-0.61146078804441,"2"
"2024-07-24",207,TRUE,-0.629992615734775,"3"
"2024-07-25",204,TRUE,-0.657790357270322,"4"
"2024-07-26",224,TRUE,-0.472472080366672,"5"
"2024-07-27",191,TRUE,-0.778247237257695,"6"
"2024-07-28",292,TRUE,0.157610061105737,"7"
"2024-07-29",308,TRUE,0.305864682628657,"1"
"2024-07-30",260,TRUE,-0.138899181940103,"2"
"2024-07-31",205,TRUE,-0.64852444342514,"3"
"2024-08-01",219,TRUE,-0.518801649592585,"4"
"2024-08-02",265,TRUE,-0.0925696127141905,"5"
"2024-08-03",271,TRUE,-0.0369741296430955,"6"
"2024-08-04",230,TRUE,-0.416876597295578,"7"
"2024-08-05",246,TRUE,-0.268621975772658,"1"
"2024-08-06",284,TRUE,0.0834827503442768,"2"
"2024-08-07",264,TRUE,-0.101835526559373,"3"
"2024-08-08",242,TRUE,-0.305685631153388,"4"
"2024-08-09",256,TRUE,-0.175962837320833,"5"
"2024-08-10",191,TRUE,-0.778247237257695,"6"
"2024-08-11",185,TRUE,-0.833842720328789,"7"
"2024-08-12",303,TRUE,0.259535113402744,"1"
"2024-08-13",264,TRUE,-0.101835526559373,"2"
"2024-08-14",347,TRUE,0.667235322590774,"3"
"2024-08-15",806,TRUE,4.92028977752954,"4"
"2024-08-16",322,TRUE,0.435587476461211,"5"
"2024-08-17",205,TRUE,-0.64852444342514,"6"
"2024-08-18",262,TRUE,-0.120367354249738,"7"
"2024-08-19",289,TRUE,0.129812319570189,"1"
