"arc","start","end","docs","topic","topic_hr","docs_topic","share"
2,"2024-12-24","2024-12-25",92,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",48,0.521739130434783
2,"2024-12-24","2024-12-25",92,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",23,0.25
2,"2024-12-24","2024-12-25",92,"BIOETIKA_I_KULTURNI_RATOVI","Bioetika i kulturni ratovi",5,0.0543478260869565
1,"2024-08-15","2024-08-15",45,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",35,0.777777777777778
1,"2024-08-15","2024-08-15",45,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",6,0.133333333333333
1,"2024-08-15","2024-08-15",45,"POLITIKA_I_ODNOS_S_DRZAVOM","Politika i odnos s državom",2,0.0444444444444444
