"dominant_topic","n_docs","sentiment_mean","sentiment_sd","cli_mean","sentiment_lower","sentiment_upper","topic_hr","reportable"
"DUHOVNOST_I_LITURGIJA",596,0.701988613517576,0.2908445575022,68.5467941775357,0.678638237266902,0.72533898976825,"Duhovnost i liturgija",TRUE
"CRKVENO_UPRAVLJANJE_I_STRUKTURA",279,0.621321312281931,0.435923432891718,69.7733549306822,0.570169127862888,0.672473496700974,"Crkveno upravljanje i struktura",TRUE
"BIOETIKA_I_KULTURNI_RATOVI",82,0.544680875660518,0.283422809856342,96.2523641104376,0.483335201363479,0.606026549957558,"Bioetika i kulturni ratovi",TRUE
"POVIJEST_I_NACIONALNI_IDENTITET",39,0.488000803158177,0.292108714985207,83.2175506534768,0.3963221378459,0.579679468470454,"Povijest i nacionalni identitet",TRUE
"MEDIJI_UMJETNOST_I_KULTURA",34,0.75438238872465,0.224668330853886,58.3988766027739,0.67886299902382,0.829901778425481,"Mediji, umjetnost i kultura",TRUE
"POLITIKA_I_ODNOS_S_DRZAVOM",25,0.381759509584543,0.489874614670993,93.541664715592,0.189728660633514,0.573790358535572,"Politika i odnos s državom",FALSE
"PAPE_I_VATIKAN",22,0.396514135005067,0.479362076723963,88.1771693014813,0.196201472228594,0.596826797781541,"Pape i Vatikan",FALSE
"TEOLOGIJA_I_DOKTRINA",20,0.53794540402315,0.40134498499746,69.0155050177766,0.362048208922091,0.71384259912421,"Teologija i doktrina",FALSE
"KARITAS_I_SOCIJALNA_PRAVDA",19,0.464776570601168,0.365814406446898,98.8950224800726,0.300286352790908,0.629266788411428,"Karitas i socijalna pravda",FALSE
"DIGITALNA_EVANGELIZACIJA_I_MLADI",5,0.693232980276759,0.425506705219746,43.9746490570117,0.320259908517459,1.06620605203606,"Digitalna evangelizacija i mladi",FALSE
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA",3,0.209722214881366,0.307327554762199,148.391135312528,-0.13805165220247,0.557496081965202,"Zlostavljanje i kriza povjerenja",FALSE
"ZNANOST_I_VJERA",3,0.479474506103041,0.415266322286604,57.9446481264501,0.00955642510622962,0.949392587099852,"Znanost i vjera",FALSE
"GLOBALNA_CRKVA_I_MISIJE",2,0.514619839711368,0.0578917572351772,92.1286031042129,0.434385957644402,0.594853721778335,"Globalna Crkva i misije",FALSE
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",2,0.499999937500008,0.353553346399106,87.8813031749326,0.00999999875000013,0.989999876250016,"Odnos s drugim religijama i pogledima",FALSE
"CRKVENE_FINANCIJE_I_IMOVINA",1,0.999999857142878,,34.6320346320346,,,"Crkvene financije i imovina",FALSE
