"key","value","display_hr","display_en","source","scope","unit","summary"
"report_year","2024","2024","2024","report contract","annual","year",FALSE
"baseline_year","2023","2023","2023","report contract","series rule","year",FALSE
"corpus_rows","413985","413 985","413,985","data/digikat_corpus_manifest.json","all period","posts",FALSE
"corpus_span","2021-01-01 2026-06-11","od 1. siječnja 2021. do 11. lipnja 2026.","1 January 2021 to 11 lipanj 2026","data/digikat_corpus_manifest.json","all period","span",FALSE
"corpus_terms","119","119","119","data/digikat_corpus_manifest.json","inclusion rule","terms",FALSE
"corpus_threshold","0.7","0,70","0.70","data/digikat_corpus_manifest.json","inclusion rule","score",FALSE
"corpus_precision","84.5","84,5 %","84.5%","data/digikat_corpus_manifest.json","measured on hand-read samples","percent",FALSE
"corpus_sha_short","15473a615bf3","15473a615bf3","15473a615bf3","data/digikat_corpus_manifest.json","fingerprint","sha256",FALSE
"total_posts","56923","56 923","56,923","output/volume_platform.csv","2024","posts",TRUE
"collected_days","207","207","207","output/coverage.csv","2024","days",TRUE
"gap_days","159","159","159","output/coverage.csv","2024","days",FALSE
"gap_span","2024-01-09..2024-05-31; 2024-09-16..2024-09-30","od 9. siječnja 2024. do 31. svibnja 2024. i od 16. rujna 2024. do 30. rujna 2024.","09 siječanj to 31 svibanj 2024 and 16 rujan to 30 rujan 2024","output/coverage_gaps.csv","2024","span",FALSE
"gap_estimated_posts","37206","37 206","37,206","output/coverage.csv","2024","posts",FALSE
"median_day","234","234","234","output/coverage.csv","days around the gap","posts",FALSE
"web_share","65.9680621190029","66,0 %","66.0%","output/volume_platform.csv","2024","percent",TRUE
"facebook_share","14.7532631800854","14,8 %","14.8%","output/volume_platform.csv","2024","percent",FALSE
"youtube_share","14.9992094583912","15,0 %","15.0%","output/volume_platform.csv","2024","percent",FALSE
"facebook_reach_share","42.1064815783674","42,1 %","42.1%","output/volume_platform.csv","2024","percent",FALSE
"distinct_sources","3398","3 398","3,398","output/concentration.csv","2024","posts",TRUE
"sources_to_half","43","43","43","output/concentration.csv","2024","sources",TRUE
"top10_share","29.7296347697767","29,7 %","29.7%","output/concentration.csv","2024","percent",FALSE
"classified_coverage","35.333696396887","35,3 %","35.3%","output/source_labels.csv","2024","percent",FALSE
"confessional_share_classified","76.7662705712723","76,8 %","76.8%","output/source_labels.csv","classified posts","percent",FALSE
"league_outlets","41","41","41","output/league_sources.csv","2024","posts",FALSE
"league_share","37.7527537199374","37,8 %","37.8%","output/league_sources.csv","2024","percent",FALSE
"actors_scored","507","507","507","output/actor_typology.csv","2024","actors",FALSE
"lead_theme_docs","51.3913349771046","51,4 %","51.4%","output/themes.csv","theme sample","percent",TRUE
"lead_theme_hr","Duhovnost i liturgija","Duhovnost i liturgija","spirituality and liturgy","output/themes.csv","theme sample","category",FALSE
"lead_theme_mentions","33.5235013623978","33,5 %","33.5%","output/themes.csv","theme sample","percent",FALSE
