"SOURCE_TYPE","actors","median_interactions_per_post","platform_hr"
"instagram",1,321.394453004623,"Instagram"
"facebook",105,56.7112068965517,"Facebook"
"youtube",111,42.8155668358714,"YouTube"
"web",288,25.8743636363636,"Web"
"twitter",2,3.00980392156863,"Twitter/X"
