"month","group","frame","label_hr","pct"
2021-05-01,"Catholic","FOREIGN_THREAT","Vanjska prijetnja",1.78082191780822
2021-05-01,"Catholic","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",5.82191780821918
2021-05-01,"Catholic","TRADITIONAL_VALUES","Tradicionalne vrijednosti",87.9452054794521
2021-05-01,"Catholic","SOVEREIGNTY","Suverenitet",0.616438356164384
2021-05-01,"Catholic","CONSPIRACY","Zavjera",0.0684931506849315
2021-05-01,"Catholic","FAITH_DEFENCE","Obrana vjere",0.136986301369863
2021-05-01,"Catholic","MEDIA_CRITIQUE","Medijska kritika",0.342465753424658
2021-05-01,"Other media","MORAL_DECAY","Moralno propadanje",1.95984703632887
2021-05-01,"Other media","FOREIGN_THREAT","Vanjska prijetnja",4.49330783938815
2021-05-01,"Other media","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",8.26959847036329
2021-05-01,"Other media","TRADITIONAL_VALUES","Tradicionalne vrijednosti",86.6156787762906
2021-05-01,"Other media","SOVEREIGNTY","Suverenitet",1.67304015296367
2021-05-01,"Other media","CONSPIRACY","Zavjera",0.812619502868069
2021-05-01,"Other media","FAITH_DEFENCE","Obrana vjere",0.525812619502868
2021-05-01,"Other media","MEDIA_CRITIQUE","Medijska kritika",0.621414913957935
2021-06-01,"Catholic","MORAL_DECAY","Moralno propadanje",2.90055248618785
2021-06-01,"Catholic","FOREIGN_THREAT","Vanjska prijetnja",1.93370165745856
2021-06-01,"Catholic","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",4.62707182320442
2021-06-01,"Catholic","TRADITIONAL_VALUES","Tradicionalne vrijednosti",85.2900552486188
2021-06-01,"Catholic","SOVEREIGNTY","Suverenitet",1.79558011049724
2021-06-01,"Catholic","CONSPIRACY","Zavjera",0.69060773480663
2021-06-01,"Catholic","FAITH_DEFENCE","Obrana vjere",0.552486187845304
2021-06-01,"Catholic","MEDIA_CRITIQUE","Medijska kritika",0.69060773480663
2021-06-01,"Other media","MORAL_DECAY","Moralno propadanje",1.86915887850467
2021-06-01,"Other media","FOREIGN_THREAT","Vanjska prijetnja",1.73564753004005
2021-06-01,"Other media","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",5.56297285269248
2021-06-01,"Other media","TRADITIONAL_VALUES","Tradicionalne vrijednosti",84.0231419670672
2021-06-01,"Other media","SOVEREIGNTY","Suverenitet",1.29060970182465
2021-06-01,"Other media","CONSPIRACY","Zavjera",0.845571873609257
2021-06-01,"Other media","FAITH_DEFENCE","Obrana vjere",0.489541611036938
2021-06-01,"Other media","MEDIA_CRITIQUE","Medijska kritika",0.890075656430797
2021-07-01,"Catholic","MORAL_DECAY","Moralno propadanje",2.13827512473272
2021-07-01,"Catholic","FOREIGN_THREAT","Vanjska prijetnja",1.92444761225944
2021-07-01,"Catholic","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",3.99144689950107
2021-07-01,"Catholic","TRADITIONAL_VALUES","Tradicionalne vrijednosti",84.3905915894512
2021-07-01,"Catholic","SOVEREIGNTY","Suverenitet",0.570206699928724
2021-07-01,"Catholic","CONSPIRACY","Zavjera",0.356379187455453
2021-07-01,"Catholic","FAITH_DEFENCE","Obrana vjere",0.356379187455453
2021-07-01,"Catholic","MEDIA_CRITIQUE","Medijska kritika",0.213827512473272
2021-07-01,"Other media","MORAL_DECAY","Moralno propadanje",2.00601805416249
2021-07-01,"Other media","FOREIGN_THREAT","Vanjska prijetnja",2.55767301905717
2021-07-01,"Other media","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",7.37211634904714
2021-07-01,"Other media","TRADITIONAL_VALUES","Tradicionalne vrijednosti",81.6950852557673
2021-07-01,"Other media","SOVEREIGNTY","Suverenitet",1.05315947843531
2021-07-01,"Other media","CONSPIRACY","Zavjera",0.501504513540622
2021-07-01,"Other media","FAITH_DEFENCE","Obrana vjere",0.902708124373119
2021-07-01,"Other media","MEDIA_CRITIQUE","Medijska kritika",0.752256770310933
2021-08-01,"Catholic","MORAL_DECAY","Moralno propadanje",2.39162929745889
2021-08-01,"Catholic","FOREIGN_THREAT","Vanjska prijetnja",1.04633781763827
2021-08-01,"Catholic","INSTITUTIONAL_DISTRUST","Institucionalno nepovjerenje",4.93273542600897
2021-08-01,"Catholic","TRADITIONAL_VALUES","Tradicionalne vrijednosti",84.7533632286996
2021-08-01,"Catholic","SOVEREIGNTY","Suverenitet",0.373692077727952
2021-08-01,"Catholic","CONSPIRACY","Zavjera",0.298953662182362
