"item1","item2","correlation"
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","KARITAS_I_SOCIJALNA_PRAVDA",0.146631907128749
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","TEOLOGIJA_I_DOKTRINA",-0.029745781286134
"BIOETIKA_I_KULTURNI_RATOVI","TEOLOGIJA_I_DOKTRINA",0.240347308354944
"POVIJEST_I_NACIONALNI_IDENTITET","TEOLOGIJA_I_DOKTRINA",0.181963059976064
"DUHOVNOST_I_LITURGIJA","TEOLOGIJA_I_DOKTRINA",0.145712040598332
"PAPE_I_VATIKAN","TEOLOGIJA_I_DOKTRINA",0.0541913264685051
"MEDIJI_UMJETNOST_I_KULTURA","TEOLOGIJA_I_DOKTRINA",-0.00379940766940534
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","TEOLOGIJA_I_DOKTRINA",0.0993119852706055
"CRKVENE_FINANCIJE_I_IMOVINA","TEOLOGIJA_I_DOKTRINA",0.0673056520543855
"POLITIKA_I_ODNOS_S_DRZAVOM","TEOLOGIJA_I_DOKTRINA",0.141914840606151
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","TEOLOGIJA_I_DOKTRINA",0.14278723295133
"KARITAS_I_SOCIJALNA_PRAVDA","TEOLOGIJA_I_DOKTRINA",0.173534830522191
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0314783767993202
"BIOETIKA_I_KULTURNI_RATOVI","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0615146953801292
"POVIJEST_I_NACIONALNI_IDENTITET","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0762297031797617
"DUHOVNOST_I_LITURGIJA","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.0300660271999274
"PAPE_I_VATIKAN","UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0.100446480602854
