"date","duhovnost_share","avg_cli","avg_sentiment"
2022-04-03,0.833333333333333,72.8855552445486,0.628000930718797
2022-04-04,0.375,66.7257212367853,0.799999948585862
2022-04-05,0.5,94.6487247692067,0.276422705995127
2022-04-06,0.6,55.4976270146549,0.843137058246913
2022-04-07,0.6,70.6840515119726,0.493930876229579
2022-04-08,0.375,46.4679699462308,0.691227859353739
2022-04-09,0.571428571428571,20.3371557385083,0.499999874999937
2022-04-10,0.428571428571429,50.2335049200019,0.688888690370457
2022-04-11,0.571428571428571,75.9741538289192,0.416666601851866
2022-04-12,0.444444444444444,90.7825159217906,0.512143190103631
2022-04-13,0.428571428571429,106.626027545606,0.497204507135286
2022-04-14,0.375,72.3482000716969,0.441671716481442
2022-04-15,0.625,106.922392417923,0.148735630302857
2022-04-16,0.4,86.5939408234155,0.585837103666427
2022-04-17,0.583333333333333,84.6608146503797,0.635873747335362
2022-04-18,0.6,63.6660949877869,0.604761835000011
2022-04-19,0.125,88.2352941176471,0.454545413223144
2022-04-20,0.625,88.7209290630084,0.654622587604218
2022-04-21,0.4,118.495760130832,0.561561538459632
2022-04-22,0.428571428571429,79.6760357788195,0.565804781552958
2022-04-24,0,,
2022-04-25,1,68.5758889418235,0.579629589007205
2022-04-26,0.6,69.8867845188732,0.789415884042001
2022-04-27,0.428571428571429,64.5253417100064,0.747167488741038
2022-04-28,0.333333333333333,57.8564691298138,0.668109614107999
2022-04-29,0.25,168.085106382979,0
2022-04-30,0.4,73.5750610923981,0.623529332733577
2022-05-01,0.666666666666667,70.855614973262,0.614864839378654
