topic,topic_label,production_pct,reward_pct,gap_pp,reward_multiplier,gap_pp_winsorized,gap_pp_top_removed,production_pct_full_text,reward_pct_full_text,gap_pp_full_text,reward_multiplier_full_text,n_products,n_products_positive,n_products_supported,total_post_mass
DUHOVNOST_I_LITURGIJA,Duhovnost i liturgija,48.9969041215266,54.1482725027004,5.1513683811738,1.10513660961919,5.82318310392907,3.06712533623021,51.3030666437957,56.5462249134849,5.24315826968921,1.10219970486547,6,6,6,3785.75
ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA,Odnos s drugim religijama i pogledima,0.4527466460604,2.09460835676244,1.64186171070204,4.62644698749022,0.172599257446163,0.12567210112904,0.362704238008284,1.89314318173896,1.53043894373068,5.2195231909469,6,6,3,43.7833333333333
BIOETIKA_I_KULTURNI_RATOVI,Bioetika i kulturni ratovi,10.2234876910648,11.0654630941298,0.841975403065059,1.08235696354395,0.383357840099238,1.04546448316301,10.5386145293182,10.9040926425646,0.365478113246417,1.03467990144527,6,6,6,653.016666666667
POVIJEST_I_NACIONALNI_IDENTITET,Povijest i nacionalni identitet,2.27086605466006,2.94993780193371,0.679071747273646,1.29903646050815,0.0983402084214364,-0.549038262194331,1.92334254649606,2.81820608369359,0.894863537197535,1.46526477502814,6,6,5,170.45
POLITIKA_I_ODNOS_S_DRZAVOM,Politika i odnos s državom,2.01501405442697,2.08458215242907,0.0695680980021018,1.03452486986344,-0.696036155980992,-0.555298542749234,1.9017599109992,2.01636163511172,0.114601724112523,1.06026087912028,6,6,5,168.15
DIGITALNA_EVANGELIZACIJA_I_MLADI,Digitalna evangelizacija i mladi,1.76938148037548,1.83645180745124,0.0670703270757612,1.03790608629041,0.267329629007563,0.179317828885248,1.56093366536676,1.6152761506669,0.0543424853001417,1.03481409012174,6,6,6,117.25
OSTALE_RIJETKE_TEME,Ostale rijetke teme,0.771139832829068,0.460560714719211,-0.310579118109857,0.597246692638817,-0.257941859421037,-0.279500472339269,0.646612580125554,0.379074081208735,-0.267538498916819,0.586246065820633,6,,,69.5666666666667
PAPE_I_VATIKAN,Pape i Vatikan,3.07817858859334,2.61257611508243,-0.465602473510906,0.848740916061119,-0.0824479438565894,-0.0934699647288333,2.58652400040823,2.40604553561477,-0.180478464793454,0.930223549147439,6,6,5,267.85
KARITAS_I_SOCIJALNA_PRAVDA,Karitas i socijalna pravda,2.22002524584822,1.55613959313086,-0.663885652717363,0.700955809417516,-0.437726773807096,-0.235041256840348,1.98049023679856,1.36788031607375,-0.612609920724806,0.690677636606236,6,6,5,217.116666666667
TEOLOGIJA_I_DOKTRINA,Teologija i doktrina,3.08724562281001,2.38398842205981,-0.703257200750194,0.772205620584834,-0.615161457298687,0.0401146876012657,2.78189352713018,2.19288110861278,-0.589012418517396,0.788269244393035,6,6,5,149.016666666667
MEDIJI_UMJETNOST_I_KULTURA,"Mediji, umjetnost i kultura",2.27360562832653,0.846225299614218,-1.42738032871231,0.372195287111897,-1.26237854551928,-1.17977139181114,2.08195442625336,0.707809333330769,-1.37414509292259,0.339973500094585,6,6,4,199.616666666667
CRKVENO_UPRAVLJANJE_I_STRUKTURA,Crkveno upravljanje i struktura,22.8414050334786,17.9611941399868,-4.88021089349178,0.786343664659032,-3.39311730301979,-1.56557454634563,22.3321036952999,17.1530050178985,-5.17909867740144,0.768087290473605,6,6,6,2479.43333333333
