organization_id,product_id,display_name,topic,topic_label,production_pct,reward_pct,gap_pp,reward_multiplier,gap_pp_winsorized,gap_pp_top_removed,production_pct_full_text,reward_pct_full_text,gap_pp_full_text,post_mass,topics_pooled,validation_status
bitno,bitno_web,Bitno.net,OSTALE_RIJETKE_TEME,Ostale rijetke teme,2.24489795918367,10.4216914038343,8.17679344465059,4.64238980716253,0.373884407131638,-0.959781611283855,1.77551020408163,10.253626243886,8.47811603980435,27.5,6,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,BIOETIKA_I_KULTURNI_RATOVI,Bioetika i kulturni ratovi,14.2340136054422,20.9397453196155,6.70573171417327,1.47110617567553,1.44451813495409,1.95812241241197,13.9727891156463,20.8627789958959,6.88998988024962,174.366666666667,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,DUHOVNOST_I_LITURGIJA,Duhovnost i liturgija,41.3768707482993,46.5661859785236,5.18931523022433,1.12541584552857,11.7525439750721,9.74103298971193,44.8571428571429,48.9572440546467,4.1001011975038,506.866666666667,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,TEOLOGIJA_I_DOKTRINA,Teologija i doktrina,2.83265306122449,3.08485129589026,0.252198234665767,1.0890325180016,-0.457668000996944,1.5565104657687,2.63265306122449,3.21375864395345,0.58110558272896,34.7,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,POVIJEST_I_NACIONALNI_IDENTITET,Povijest i nacionalni identitet,1.95238095238095,1.21841091808624,-0.73397003429471,0.62406412877588,-0.271262631457982,-0.218811243630662,1.71428571428571,0.88927306459774,-0.825012649687974,23.9166666666667,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,KARITAS_I_SOCIJALNA_PRAVDA,Karitas i socijalna pravda,2.53741496598639,1.69923961320065,-0.838175352785742,0.669673520483903,-0.192866995358739,-0.119716406636567,2.19727891156463,1.42966070725811,-0.767618204306516,31.0833333333333,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,DIGITALNA_EVANGELIZACIJA_I_MLADI,Digitalna evangelizacija i mladi,3.01360544217687,2.06161803564401,-0.951987406532861,0.684103501669683,-0.169061127102825,-0.0803105048503526,2.72789115646258,1.61079721144656,-1.11709394501602,36.9166666666667,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,MEDIJI_UMJETNOST_I_KULTURA,"Mediji, umjetnost i kultura",2.63945578231293,1.26588238601226,-1.37357339630067,0.479599769958252,-0.892838085713907,-0.83834309803209,2.44897959183673,0.949359082475966,-1.49962050936077,32.3333333333333,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,POLITIKA_I_ODNOS_S_DRZAVOM,Politika i odnos s državom,1.89795918367347,0.483323494687131,-1.41463568898634,0.254654314405048,-1.2310873017904,-1.21028070223554,1.65986394557823,0.382090852870074,-1.27777309270816,23.25,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,PAPE_I_VATIKAN,Pape i Vatikan,4.4312925170068,1.84781722606398,-2.58347529094282,0.416992834251466,-1.88174265140609,-1.8021959430505,3.82993197278912,1.52741468488222,-2.3025172879069,54.2833333333334,1,published_provisional_pending_manual_dictionary_validation
bitno,bitno_web,Bitno.net,CRKVENO_UPRAVLJANJE_I_STRUKTURA,Crkveno upravljanje i struktura,22.8394557823129,10.4112343284421,-12.4282214538708,0.455844238482454,-8.47441972333096,-8.02622635817304,22.1836734693878,9.92399645808737,-12.2596770113004,279.783333333333,1,published_provisional_pending_manual_dictionary_validation
glas_koncila,glas_koncila_web,Glas Koncila,DUHOVNOST_I_LITURGIJA,Duhovnost i liturgija,42.472972972973,57.4141470698022,14.9411740968292,1.35178074551873,9.18927004776686,-1.3705296406209,46.0585585585586,60.6429637924599,14.5844052339013,157.15,1,published_provisional_pending_manual_dictionary_validation
glas_koncila,glas_koncila_web,Glas Koncila,BIOETIKA_I_KULTURNI_RATOVI,Bioetika i kulturni ratovi,11.9459459459459,10.8715938783128,-1.07435206763314,0.910065550899488,0.371666430324301,1.71316503433077,14.009009009009,12.2900335946249,-1.71897541438415,44.2,1,published_provisional_pending_manual_dictionary_validation
