stream,above,months,mean_share,below_4,at_or_above_4,ratio
backfill,FALSE,7,0.32,0.32,0.22,0.69
backfill,TRUE,17,0.22,0.32,0.22,0.69
monitoring,FALSE,11,0.28,0.28,0.55,1.96
monitoring,TRUE,26,0.55,0.28,0.55,1.96
