stratum,n,infl_same,link_same,foreign_same,reg_same
core: justice,13,0.923,0.846,0.769,0.462
core: institution,23,1,1,1,0.652
"linked, foreign",15,1,1,1,0.8
core: other,5,0.8,0.6,1,0
not linked,9,0.889,0.667,0.778,0.556
core: charity,11,1,1,0.909,0.818
core: devotional,10,1,1,1,0.6
disputed,10,0.9,0.7,1,0
core: crl,24,1,1,0.958,0.958
