mdate,domestic,foreign,incidental
2021-01-01,4,0,37
2021-02-01,4,0,39
2021-03-01,1,0,38
2021-04-01,1,0,27
2021-05-01,1,1,18
2021-06-01,5,2,17
2021-07-01,2,0,15
2021-08-01,2,0,30
2021-09-01,1,0,23
2021-10-01,5,0,47
2021-11-01,1,0,44
2021-12-01,1,2,46
2022-01-01,9,3,107
2022-02-01,36,0,56
2022-03-01,10,3,70
2022-04-01,32,14,98
2022-05-01,11,5,90
2022-06-01,6,10,96
2022-07-01,6,1,50
2022-08-01,34,12,66
2022-09-01,5,1,105
2022-10-01,23,4,83
2022-11-01,5,7,67
2022-12-01,66,6,115
2023-01-01,35,2,53
2023-02-01,9,8,38
2023-03-01,16,9,63
2023-04-01,23,13,73
2023-05-01,6,0,53
2023-06-01,4,1,40
2023-07-01,4,0,20
2023-08-01,16,4,47
2023-09-01,7,2,32
2023-10-01,6,1,47
2023-11-01,5,0,44
2023-12-01,24,3,59
2024-01-01,5,1,19
2024-06-01,63,4,39
2024-07-01,4,1,168
2024-08-01,5,1,106
2024-09-01,9,1,69
2024-10-01,8,2,172
2024-11-01,16,4,201
2024-12-01,18,6,260
2025-01-01,18,3,168
2025-02-01,9,11,243
2025-03-01,21,9,196
2025-04-01,25,14,111
2025-05-01,5,1,113
2025-06-01,11,13,149
2025-07-01,11,4,165
2025-08-01,16,3,123
2025-09-01,8,1,107
2025-10-01,10,5,225
2025-11-01,13,2,210
2025-12-01,27,11,274
2026-01-01,42,36,337
2026-02-01,10,6,204
2026-03-01,15,14,447
2026-04-01,22,13,408
2026-05-01,27,20,371
2026-06-01,14,9,100
