rid,DATE,FROM,otype,c_infl,c_link,c_foreign,c_register,domestic,n_ann
590777,2025-04-25,RTL,Secular/other,1,0,0,none,0,3
590964,2025-04-24,net.hr,Secular/other,1,0,0,none,0,3
591521,2025-04-24,novine.hr,Secular/other,1,0,1,none,0,3
593986,2025-04-22,crovijesti.com,Secular/other,1,0,1,none,0,3
599712,2025-07-31,poslovni.hr,Business,1,0,0,none,0,3
600392,2025-07-30,crovijesti.com,Secular/other,1,0,1,none,0,3
601402,2025-07-29,crovijesti.com,Secular/other,1,0,0,none,0,3
602340,2025-07-27,slobodnadalmacija.hr,Secular/other,1,0,0,none,0,3
602757,2025-07-26,valpovstina.info,Secular/other,1,1,1,cost_relig_life,0,3
602822,2025-07-26,hkm.hr,Catholic,1,1,1,charity,0,3
602876,2025-07-26,bitno.net,Secular/other,1,1,1,charity,0,3
602887,2025-07-26,hkm.hr,Catholic,1,1,1,charity,0,3
603126,2025-07-26,24sata.hr,Secular/other,1,0,1,none,0,3
603394,2025-07-25,poslovni.hr,Business,1,0,0,none,0,3
604309,2025-07-24,bloombergadria.com,Business,1,0,0,none,0,3
604786,2025-07-23,vinkulja.hr,Secular/other,1,1,1,cost_relig_life,0,3
607057,2024-07-28,hkm.hr,Catholic,1,0,0,none,0,3
608090,2024-07-26,svijetosiguranja.eu,Secular/other,1,0,1,none,0,3
612327,2026-01-20,press032.com,Secular/other,1,1,0,cost_relig_life,1,3
612368,2026-01-20,Baranja info,Secular/other,1,1,0,cost_relig_life,1,3
612433,2026-01-20,hrv.hr,Secular/other,1,1,0,cost_relig_life,1,3
613037,2026-01-19,net.hr,Secular/other,1,1,0,cost_relig_life,1,3
613041,2026-01-19,sjeverni.info,Secular/other,1,1,0,cost_relig_life,1,3
613143,2026-01-19,023.hr,Secular/other,1,1,0,cost_relig_life,1,3
613888,2026-03-05,index.hr,Secular/other,1,0,1,none,0,3
614268,2026-03-05,direktno.hr,Secular/other,1,1,0,institution,1,3
614465,2026-03-05,rva.hr,Secular/other,1,0,0,none,0,3
614932,2026-03-06,zagorje.com,Secular/other,1,0,0,none,0,3
616547,2026-03-09,dnevno.hr,Secular/other,1,0,0,none,0,3
616680,2026-03-09,vpz.hr,Secular/other,1,0,0,none,0,3
616790,2026-03-10,narod.hr,Secular/other,1,0,0,none,0,3
617104,2026-03-10,elle.hr,Secular/other,1,0,0,none,0,3
617855,2026-03-11,gradonacelnik.hr,Secular/other,1,0,0,none,0,3
619155,2026-03-17,komarilos.com,Secular/other,1,0,0,none,0,3
619566,2026-01-22,promise.hr,Secular/other,1,1,0,charity,1,3
620330,2026-01-21,Slobodna Dalmacija,Secular/other,1,1,0,cost_relig_life,1,3
620332,2026-01-21,Šibenski.hr,Secular/other,1,1,0,cost_relig_life,1,3
620346,2026-01-21,slobodnadalmacija.hr,Secular/other,1,1,0,cost_relig_life,1,3
620595,2026-03-18,24sata.hr,Secular/other,1,0,0,none,0,3
620618,2026-03-18,novilist.hr,Secular/other,1,0,0,none,0,3
620622,2026-03-18,hrt.hr,Secular/other,1,0,0,none,0,3
620651,2026-03-18,prigorski.hr,Secular/other,1,0,0,none,0,3
621957,2026-03-19,ijf.hr,Secular/other,1,0,0,none,0,3
622031,2026-03-19,direktno.hr,Secular/other,1,0,0,none,0,3
622118,2026-03-20,01portal.hr,Secular/other,1,0,0,none,0,3
622751,2026-03-20,vecernji.hr,Secular/other,1,1,0,cost_relig_life,1,3
623036,2026-03-21,dnevnik.hr,Secular/other,1,0,0,none,0,3
623371,2026-03-21,vecernji.hr,Secular/other,0,0,0,none,0,3
623372,2026-03-21,jutarnji.hr,Secular/other,1,0,0,none,0,3
