"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms","code","denominator_sensitivity_rate"
"inflation_prices",787,1,0.1271,"leave_out_caritas_in_veritate","caritas_in_veritate","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_caritas_in_veritate","caritas_in_veritate","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_caritas_in_veritate","caritas_in_veritate","ax1_strict",1.929
"poverty_social",31354,581,1.853,"leave_out_caritas_in_veritate","caritas_in_veritate","ax1_strict",3.4744
"macro_aggregates",1938,88,4.5408,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",6.8112
"euro_changeover",243,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",0
"taxes_fiscal",14110,192,1.3607,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",4.2969
"business_comp",13143,117,0.8902,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",2.5434
"green_energy",1559,201,12.8929,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",14.5957
"housing",2627,1,0.0381,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",0.9921
"inflation_prices",787,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",0
"unemployment",3335,30,0.8996,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",1.384
"wages_income",9776,34,0.3478,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",1.3912
"poverty_social",31354,505,1.6106,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_link_genuine",2.2473
"macro_aggregates",1938,88,4.5408,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",6.9858
"euro_changeover",243,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",0
"taxes_fiscal",14110,192,1.3607,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",4.5357
"business_comp",13143,117,0.8902,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",2.9673
"green_energy",1559,201,12.8929,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",14.5957
"housing",2627,1,0.0381,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",0.9921
"inflation_prices",787,0,0,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",0
"unemployment",3335,30,0.8996,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",1.384
"wages_income",9776,34,0.3478,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",1.4906
"poverty_social",31354,505,1.6106,"leave_out_evangelii_gaudium","evangelii_gaudium","ax1_strict",3.0199
"macro_aggregates",1938,71,3.6636,"leave_out_laudato_si","laudato_si","ax1_link_genuine",5.4954
"euro_changeover",243,0,0,"leave_out_laudato_si","laudato_si","ax1_link_genuine",0
"taxes_fiscal",14110,182,1.2899,"leave_out_laudato_si","laudato_si","ax1_link_genuine",4.0734
"business_comp",13143,95,0.7228,"leave_out_laudato_si","laudato_si","ax1_link_genuine",2.0651
"green_energy",1559,47,3.0148,"leave_out_laudato_si","laudato_si","ax1_link_genuine",3.413
"housing",2627,1,0.0381,"leave_out_laudato_si","laudato_si","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_laudato_si","laudato_si","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_laudato_si","laudato_si","ax1_link_genuine",0.1695
"unemployment",3335,27,0.8096,"leave_out_laudato_si","laudato_si","ax1_link_genuine",1.2455
"wages_income",9776,43,0.4399,"leave_out_laudato_si","laudato_si","ax1_link_genuine",1.7596
"poverty_social",31354,459,1.4639,"leave_out_laudato_si","laudato_si","ax1_link_genuine",2.0427
"macro_aggregates",1938,71,3.6636,"leave_out_laudato_si","laudato_si","ax1_strict",5.6363
"euro_changeover",243,0,0,"leave_out_laudato_si","laudato_si","ax1_strict",0
"taxes_fiscal",14110,182,1.2899,"leave_out_laudato_si","laudato_si","ax1_strict",4.2997
"business_comp",13143,95,0.7228,"leave_out_laudato_si","laudato_si","ax1_strict",2.4093
"green_energy",1559,47,3.0148,"leave_out_laudato_si","laudato_si","ax1_strict",3.413
"housing",2627,1,0.0381,"leave_out_laudato_si","laudato_si","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_laudato_si","laudato_si","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_laudato_si","laudato_si","ax1_strict",0.1773
"unemployment",3335,27,0.8096,"leave_out_laudato_si","laudato_si","ax1_strict",1.2455
"wages_income",9776,43,0.4399,"leave_out_laudato_si","laudato_si","ax1_strict",1.8853
"poverty_social",31354,459,1.4639,"leave_out_laudato_si","laudato_si","ax1_strict",2.7448
"macro_aggregates",1938,93,4.7988,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",7.1982
"euro_changeover",243,0,0,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",0
"taxes_fiscal",14110,196,1.3891,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",4.3866
"business_comp",13143,114,0.8674,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",2.4783
"green_energy",1559,200,12.8287,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",14.5231
"housing",2627,0,0,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",0
"demography_econ",567,3,0.5291,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",0.1695
"unemployment",3335,29,0.8696,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",1.3378
"wages_income",9776,43,0.4399,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",1.7596
"poverty_social",31354,486,1.55,"leave_out_fratelli_tutti","fratelli_tutti","ax1_link_genuine",2.1628
"macro_aggregates",1938,93,4.7988,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",7.3828
"euro_changeover",243,0,0,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",0
"taxes_fiscal",14110,196,1.3891,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",4.6303
"business_comp",13143,114,0.8674,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",2.8913
"green_energy",1559,200,12.8287,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",14.5231
"housing",2627,0,0,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",0
"demography_econ",567,3,0.5291,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",0.1773
"unemployment",3335,29,0.8696,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",1.3378
"wages_income",9776,43,0.4399,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",1.8853
"poverty_social",31354,486,1.55,"leave_out_fratelli_tutti","fratelli_tutti","ax1_strict",2.9063
"macro_aggregates",1938,94,4.8504,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",0
"taxes_fiscal",14110,207,1.467,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",4.6326
"business_comp",13143,121,0.9206,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",2.6303
"green_energy",1559,193,12.3797,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",14.0148
"housing",2627,1,0.0381,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",1.8004
"poverty_social",31354,584,1.8626,"leave_out_laudate_deum","laudate_deum","ax1_link_genuine",2.599
"macro_aggregates",1938,94,4.8504,"leave_out_laudate_deum","laudate_deum","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_laudate_deum","laudate_deum","ax1_strict",0
"taxes_fiscal",14110,207,1.467,"leave_out_laudate_deum","laudate_deum","ax1_strict",4.89
"business_comp",13143,121,0.9206,"leave_out_laudate_deum","laudate_deum","ax1_strict",3.0687
"green_energy",1559,193,12.3797,"leave_out_laudate_deum","laudate_deum","ax1_strict",14.0148
"housing",2627,1,0.0381,"leave_out_laudate_deum","laudate_deum","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_laudate_deum","laudate_deum","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_laudate_deum","laudate_deum","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_laudate_deum","laudate_deum","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_laudate_deum","laudate_deum","ax1_strict",1.929
"poverty_social",31354,584,1.8626,"leave_out_laudate_deum","laudate_deum","ax1_strict",3.4924
"macro_aggregates",1938,93,4.7988,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",7.1982
"euro_changeover",243,0,0,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",0
"taxes_fiscal",14110,208,1.4741,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",4.6551
"business_comp",13143,121,0.9206,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",2.6303
"green_energy",1559,202,12.957,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",1.8004
"poverty_social",31354,581,1.853,"leave_out_dignitas_infinita","dignitas_infinita","ax1_link_genuine",2.5856
"macro_aggregates",1938,93,4.7988,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",7.3828
"euro_changeover",243,0,0,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",0
"taxes_fiscal",14110,208,1.4741,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",4.9137
"business_comp",13143,121,0.9206,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",3.0687
"green_energy",1559,202,12.957,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",1.929
"poverty_social",31354,581,1.853,"leave_out_dignitas_infinita","dignitas_infinita","ax1_strict",3.4744
"macro_aggregates",1938,61,3.1476,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",4.7214
"euro_changeover",243,0,0,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",0
"taxes_fiscal",14110,122,0.8646,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",2.7303
"business_comp",13143,64,0.487,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",1.3914
"green_energy",1559,193,12.3797,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",14.0148
"housing",2627,1,0.0381,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",0.0508
"demography_econ",567,1,0.1764,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",0.3308
"inflation_prices",787,1,0.1271,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",0.1695
"unemployment",3335,11,0.3298,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",0.5074
"wages_income",9776,29,0.2966,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",1.1864
"poverty_social",31354,486,1.55,"leave_out_socijalni_nauk","socijalni_nauk","ax1_link_genuine",2.1628
"macro_aggregates",1938,61,3.1476,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",4.8425
"euro_changeover",243,0,0,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",0
"taxes_fiscal",14110,122,0.8646,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",2.882
"business_comp",13143,64,0.487,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",1.6233
"green_energy",1559,193,12.3797,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",14.0148
"housing",2627,1,0.0381,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",0.0508
"demography_econ",567,1,0.1764,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",0.3308
"inflation_prices",787,1,0.1271,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",0.1773
"unemployment",3335,11,0.3298,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",0.5074
"wages_income",9776,29,0.2966,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",1.2711
"poverty_social",31354,486,1.55,"leave_out_socijalni_nauk","socijalni_nauk","ax1_strict",2.9063
"macro_aggregates",1938,94,4.8504,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",0
"taxes_fiscal",14110,206,1.46,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",4.6105
"business_comp",13143,119,0.9054,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",2.5869
"green_energy",1559,202,12.957,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",1.384
"wages_income",9776,43,0.4399,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",1.7596
"poverty_social",31354,586,1.869,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_link_genuine",2.6079
"macro_aggregates",1938,94,4.8504,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",0
"taxes_fiscal",14110,206,1.46,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",4.8667
"business_comp",13143,119,0.9054,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",3.018
"green_energy",1559,202,12.957,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",1.384
"wages_income",9776,43,0.4399,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",1.8853
"poverty_social",31354,586,1.869,"leave_out_socijalna_doktrina","socijalna_doktrina","ax1_strict",3.5044
"macro_aggregates",1938,94,4.8504,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",0
"taxes_fiscal",14110,208,1.4741,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",4.6551
"business_comp",13143,121,0.9206,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",2.6303
"green_energy",1559,202,12.957,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",1.8004
"poverty_social",31354,586,1.869,"leave_out_kompendij_ksn","kompendij_ksn","ax1_link_genuine",2.6079
"macro_aggregates",1938,94,4.8504,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",0
"taxes_fiscal",14110,208,1.4741,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",4.9137
"business_comp",13143,121,0.9206,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",3.0687
"green_energy",1559,202,12.957,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",1.929
"poverty_social",31354,586,1.869,"leave_out_kompendij_ksn","kompendij_ksn","ax1_strict",3.5044
"macro_aggregates",1938,93,4.7988,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",7.1982
"euro_changeover",243,0,0,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",0
"taxes_fiscal",14110,199,1.4103,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",4.4536
"business_comp",13143,115,0.875,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",2.5
"green_energy",1559,202,12.957,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",0.1695
"unemployment",3335,28,0.8396,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",1.2917
"wages_income",9776,44,0.4501,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",1.8004
"poverty_social",31354,577,1.8403,"leave_out_supsidijarnost","supsidijarnost","ax1_link_genuine",2.5679
"macro_aggregates",1938,93,4.7988,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",7.3828
"euro_changeover",243,0,0,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",0
"taxes_fiscal",14110,199,1.4103,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",4.701
"business_comp",13143,115,0.875,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",2.9167
"green_energy",1559,202,12.957,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",0.1773
"unemployment",3335,28,0.8396,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",1.2917
"wages_income",9776,44,0.4501,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",1.929
"poverty_social",31354,577,1.8403,"leave_out_supsidijarnost","supsidijarnost","ax1_strict",3.4506
"macro_aggregates",1938,94,4.8504,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",0
"taxes_fiscal",14110,203,1.4387,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",4.5433
"business_comp",13143,121,0.9206,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",2.6303
"green_energy",1559,201,12.8929,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",14.5957
"housing",2627,1,0.0381,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",1.8004
"poverty_social",31354,581,1.853,"leave_out_integralna_ekologija","integralna_ekologija","ax1_link_genuine",2.5856
"macro_aggregates",1938,94,4.8504,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",0
"taxes_fiscal",14110,203,1.4387,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",4.7957
"business_comp",13143,121,0.9206,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",3.0687
"green_energy",1559,201,12.8929,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",14.5957
"housing",2627,1,0.0381,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",1.929
"poverty_social",31354,581,1.853,"leave_out_integralna_ekologija","integralna_ekologija","ax1_strict",3.4744
"macro_aggregates",1938,94,4.8504,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",0
"taxes_fiscal",14110,208,1.4741,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",4.6551
"business_comp",13143,121,0.9206,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",2.6303
"green_energy",1559,202,12.957,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",1.8004
"poverty_social",31354,584,1.8626,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_link_genuine",2.599
"macro_aggregates",1938,94,4.8504,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",0
"taxes_fiscal",14110,208,1.4741,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",4.9137
"business_comp",13143,121,0.9206,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",3.0687
"green_energy",1559,202,12.957,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",14.6683
"housing",2627,1,0.0381,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",0.0508
"demography_econ",567,3,0.5291,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",0.9921
"inflation_prices",787,1,0.1271,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",0.1773
"unemployment",3335,30,0.8996,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",1.384
"wages_income",9776,44,0.4501,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",1.929
"poverty_social",31354,584,1.8626,"leave_out_univ_namjena_dobara","univ_namjena_dobara","ax1_strict",3.4924
"macro_aggregates",1938,94,4.8504,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",7.2756
"euro_changeover",243,0,0,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",0
"taxes_fiscal",14110,207,1.467,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",4.6326
"business_comp",13143,121,0.9206,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",2.6303
"green_energy",1559,202,12.957,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",14.6683
"housing",2627,1,0.0381,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",0.0508
"demography_econ",567,3,0.5291,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",0.9921
"inflation_prices",787,1,0.1271,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",0.1695
"unemployment",3335,30,0.8996,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",1.384
"wages_income",9776,44,0.4501,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",1.8004
"poverty_social",31354,573,1.8275,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_link_genuine",2.55
"macro_aggregates",1938,94,4.8504,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",7.4622
"euro_changeover",243,0,0,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",0
"taxes_fiscal",14110,207,1.467,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",4.89
"business_comp",13143,121,0.9206,"leave_out_opcija_za_siromasne","opcija_za_siromasne","ax1_strict",3.0687
