"domain","n","pct","tier"
"poverty_social",727,37.3,"C"
"taxes_fiscal",346,17.75,"A"
"green_energy",245,12.57,"B"
"business_comp",227,11.65,"A"
"macro_aggregates",156,8,"A"
"wages_income",130,6.67,"C"
"unemployment",74,3.8,"C"
"housing",21,1.08,"B"
"demography_econ",17,0.87,"B"
"inflation_prices",6,0.31,"C"
