"axis","k","n","rate","lo","hi","n_eff"
"r1_genuine",120,150,79.6,72.4,85.3,148.8
"r1_not_false",149,150,99.3,96.3,99.9,148.8
"r2_econ_true",116,150,77.1,69.7,83.1,148.8
"r1_and_r2",95,150,62.8,54.8,70.2,148.8
