"era","k","n","rate","lo","hi","n_eff"
"benedict",1,1,100,20.7,100,1
"classical",3,8,34.1,11.6,67.1,7.8
"conciliar",6,8,76.6,41.3,93.8,7.5
"francis",72,81,88.9,80.2,94.1,81
"marker_only",35,49,71.3,57.5,82.1,49
"mixed",3,3,100,42,100,2.8
