"era","stream","Freq"
"benedict","filtered_religious",2
"classical","filtered_religious",42
"conciliar","filtered_religious",22
"francis","filtered_religious",199
"marker_only","filtered_religious",142
"mixed","filtered_religious",13
"benedict","original_dta",5
"classical","original_dta",21
"conciliar","original_dta",35
"francis","original_dta",401
"marker_only","original_dta",203
"mixed","original_dta",8
