"year","data_source","n"
"2021","original_dta",23069
"2022","original_dta",18642
"2023","original_dta",16880
"2024","filtered_religious",25743
"2024","original_dta",2246
"2025","filtered_religious",52400
"2026","filtered_religious",27041
