"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"green_energy",1559,202,12.957,"leave_out_dignitas_infinita","dignitas_infinita"
"housing",2627,1,0.0381,"leave_out_dignitas_infinita","dignitas_infinita"
"demography_econ",567,3,0.5291,"leave_out_dignitas_infinita","dignitas_infinita"
"inflation_prices",787,1,0.1271,"leave_out_dignitas_infinita","dignitas_infinita"
"unemployment",3335,30,0.8996,"leave_out_dignitas_infinita","dignitas_infinita"
"wages_income",9776,44,0.4501,"leave_out_dignitas_infinita","dignitas_infinita"
"poverty_social",31354,581,1.853,"leave_out_dignitas_infinita","dignitas_infinita"
"macro_aggregates",1938,61,3.1476,"leave_out_socijalni_nauk","socijalni_nauk"
"euro_changeover",243,0,0,"leave_out_socijalni_nauk","socijalni_nauk"
"taxes_fiscal",14110,122,0.8646,"leave_out_socijalni_nauk","socijalni_nauk"
"business_comp",13143,64,0.487,"leave_out_socijalni_nauk","socijalni_nauk"
"green_energy",1559,193,12.3797,"leave_out_socijalni_nauk","socijalni_nauk"
"housing",2627,1,0.0381,"leave_out_socijalni_nauk","socijalni_nauk"
"demography_econ",567,1,0.1764,"leave_out_socijalni_nauk","socijalni_nauk"
"inflation_prices",787,1,0.1271,"leave_out_socijalni_nauk","socijalni_nauk"
"unemployment",3335,11,0.3298,"leave_out_socijalni_nauk","socijalni_nauk"
"wages_income",9776,29,0.2966,"leave_out_socijalni_nauk","socijalni_nauk"
"poverty_social",31354,486,1.55,"leave_out_socijalni_nauk","socijalni_nauk"
"macro_aggregates",1938,94,4.8504,"leave_out_socijalna_doktrina","socijalna_doktrina"
"euro_changeover",243,0,0,"leave_out_socijalna_doktrina","socijalna_doktrina"
"taxes_fiscal",14110,206,1.46,"leave_out_socijalna_doktrina","socijalna_doktrina"
"business_comp",13143,119,0.9054,"leave_out_socijalna_doktrina","socijalna_doktrina"
"green_energy",1559,202,12.957,"leave_out_socijalna_doktrina","socijalna_doktrina"
"housing",2627,1,0.0381,"leave_out_socijalna_doktrina","socijalna_doktrina"
"demography_econ",567,3,0.5291,"leave_out_socijalna_doktrina","socijalna_doktrina"
"inflation_prices",787,1,0.1271,"leave_out_socijalna_doktrina","socijalna_doktrina"
"unemployment",3335,30,0.8996,"leave_out_socijalna_doktrina","socijalna_doktrina"
"wages_income",9776,43,0.4399,"leave_out_socijalna_doktrina","socijalna_doktrina"
