"domain","charity","justice","object","remainder","n"
"demography_econ",70,30,0,0,10
"euro_changeover",50,0,50,0,2
"green_energy",0,100,0,0,11
"housing",60,20,20,0,5
"inflation_prices",0,0,100,0,9
"macro_aggregates",0,100,0,0,1
"poverty_social",26,19.5,6.5,48.1,77
"taxes_fiscal",0,20,80,0,5
"unemployment",16.7,58.3,25,0,12
"wages_income",25,12.5,56.2,6.2,16
