"ym","data_source","n","domain"
"2021-12","original_dta",173,"taxes_fiscal"
"2022-01","original_dta",209,"taxes_fiscal"
"2022-02","original_dta",124,"taxes_fiscal"
"2022-03","original_dta",145,"taxes_fiscal"
"2022-04","original_dta",100,"taxes_fiscal"
"2022-05","original_dta",101,"taxes_fiscal"
"2022-06","original_dta",98,"taxes_fiscal"
"2022-07","original_dta",87,"taxes_fiscal"
"2022-08","original_dta",94,"taxes_fiscal"
"2022-09","original_dta",105,"taxes_fiscal"
"2022-10","original_dta",128,"taxes_fiscal"
"2022-11","original_dta",92,"taxes_fiscal"
"2022-12","original_dta",119,"taxes_fiscal"
"2023-01","original_dta",123,"taxes_fiscal"
"2023-02","original_dta",159,"taxes_fiscal"
"2023-03","original_dta",132,"taxes_fiscal"
"2023-04","original_dta",120,"taxes_fiscal"
"2023-05","original_dta",101,"taxes_fiscal"
"2023-06","original_dta",138,"taxes_fiscal"
"2023-07","original_dta",95,"taxes_fiscal"
"2023-08","original_dta",112,"taxes_fiscal"
"2023-09","original_dta",128,"taxes_fiscal"
"2023-10","original_dta",139,"taxes_fiscal"
"2023-11","original_dta",123,"taxes_fiscal"
"2023-12","original_dta",154,"taxes_fiscal"
"2024-01","original_dta",27,"taxes_fiscal"
"2024-06","original_dta",119,"taxes_fiscal"
"2024-07","filtered_religious",442,"taxes_fiscal"
"2024-07","original_dta",12,"taxes_fiscal"
"2024-08","filtered_religious",303,"taxes_fiscal"
"2024-09","filtered_religious",168,"taxes_fiscal"
"2024-10","filtered_religious",412,"taxes_fiscal"
"2024-11","filtered_religious",487,"taxes_fiscal"
"2024-12","filtered_religious",475,"taxes_fiscal"
"2025-01","filtered_religious",367,"taxes_fiscal"
"2025-02","filtered_religious",432,"taxes_fiscal"
"2025-03","filtered_religious",403,"taxes_fiscal"
"2025-04","filtered_religious",266,"taxes_fiscal"
"2025-05","filtered_religious",335,"taxes_fiscal"
"2025-06","filtered_religious",344,"taxes_fiscal"
"2025-07","filtered_religious",349,"taxes_fiscal"
"2025-08","filtered_religious",343,"taxes_fiscal"
"2025-09","filtered_religious",211,"taxes_fiscal"
"2025-10","filtered_religious",451,"taxes_fiscal"
"2025-11","filtered_religious",504,"taxes_fiscal"
"2025-12","filtered_religious",458,"taxes_fiscal"
"2026-01","filtered_religious",492,"taxes_fiscal"
"2026-02","filtered_religious",409,"taxes_fiscal"
"2026-03","filtered_religious",551,"taxes_fiscal"
"2026-04","filtered_religious",448,"taxes_fiscal"
"2026-05","filtered_religious",508,"taxes_fiscal"
"2026-06","filtered_religious",254,"taxes_fiscal"
"2021-01","original_dta",1721,"business_comp"
"2021-02","original_dta",722,"business_comp"
"2021-03","original_dta",712,"business_comp"
"2021-04","original_dta",819,"business_comp"
"2021-05","original_dta",560,"business_comp"
"2021-06","original_dta",499,"business_comp"
"2021-07","original_dta",488,"business_comp"
"2021-08","original_dta",403,"business_comp"
"2021-09","original_dta",445,"business_comp"
"2021-10","original_dta",503,"business_comp"
"2021-11","original_dta",631,"business_comp"
"2021-12","original_dta",721,"business_comp"
"2022-01","original_dta",613,"business_comp"
"2022-02","original_dta",459,"business_comp"
"2022-03","original_dta",565,"business_comp"
"2022-04","original_dta",686,"business_comp"
"2022-05","original_dta",438,"business_comp"
"2022-06","original_dta",506,"business_comp"
"2022-07","original_dta",480,"business_comp"
"2022-08","original_dta",423,"business_comp"
"2022-09","original_dta",395,"business_comp"
"2022-10","original_dta",472,"business_comp"
"2022-11","original_dta",517,"business_comp"
"2022-12","original_dta",562,"business_comp"
"2023-01","original_dta",443,"business_comp"
"2023-02","original_dta",369,"business_comp"
"2023-03","original_dta",372,"business_comp"
"2023-04","original_dta",596,"business_comp"
"2023-05","original_dta",364,"business_comp"
"2023-06","original_dta",414,"business_comp"
"2023-07","original_dta",316,"business_comp"
"2023-08","original_dta",359,"business_comp"
"2023-09","original_dta",415,"business_comp"
"2023-10","original_dta",403,"business_comp"
"2023-11","original_dta",433,"business_comp"
"2023-12","original_dta",526,"business_comp"
"2024-01","original_dta",110,"business_comp"
"2024-06","original_dta",583,"business_comp"
"2024-07","filtered_religious",1937,"business_comp"
"2024-07","original_dta",33,"business_comp"
"2024-08","filtered_religious",1419,"business_comp"
"2024-09","filtered_religious",930,"business_comp"
"2024-10","filtered_religious",1996,"business_comp"
"2024-11","filtered_religious",2220,"business_comp"
"2024-12","filtered_religious",2261,"business_comp"
"2025-01","filtered_religious",1336,"business_comp"
"2025-02","filtered_religious",1763,"business_comp"
"2025-03","filtered_religious",2117,"business_comp"
"2025-04","filtered_religious",1695,"business_comp"
"2025-05","filtered_religious",1712,"business_comp"
"2025-06","filtered_religious",1954,"business_comp"
"2025-07","filtered_religious",1814,"business_comp"
"2025-08","filtered_religious",1529,"business_comp"
"2025-09","filtered_religious",1104,"business_comp"
"2025-10","filtered_religious",2308,"business_comp"
"2025-11","filtered_religious",2247,"business_comp"
"2025-12","filtered_religious",2187,"business_comp"
"2026-01","filtered_religious",1668,"business_comp"
"2026-02","filtered_religious",1901,"business_comp"
"2026-03","filtered_religious",2658,"business_comp"
"2026-04","filtered_religious",2391,"business_comp"
"2026-05","filtered_religious",2770,"business_comp"
"2026-06","filtered_religious",1075,"business_comp"
"2021-01","original_dta",136,"green_energy"
"2021-02","original_dta",26,"green_energy"
"2021-03","original_dta",42,"green_energy"
"2021-04","original_dta",49,"green_energy"
"2021-05","original_dta",60,"green_energy"
"2021-06","original_dta",48,"green_energy"
"2021-07","original_dta",47,"green_energy"
"2021-08","original_dta",30,"green_energy"
"2021-09","original_dta",45,"green_energy"
"2021-10","original_dta",141,"green_energy"
"2021-11","original_dta",140,"green_energy"
"2021-12","original_dta",148,"green_energy"
"2022-01","original_dta",122,"green_energy"
"2022-02","original_dta",83,"green_energy"
"2022-03","original_dta",78,"green_energy"
"2022-04","original_dta",72,"green_energy"
"2022-05","original_dta",94,"green_energy"
"2022-06","original_dta",76,"green_energy"
"2022-07","original_dta",62,"green_energy"
"2022-08","original_dta",67,"green_energy"
"2022-09","original_dta",151,"green_energy"
"2022-10","original_dta",119,"green_energy"
"2022-11","original_dta",129,"green_energy"
"2022-12","original_dta",128,"green_energy"
"2023-01","original_dta",58,"green_energy"
"2023-02","original_dta",46,"green_energy"
"2023-03","original_dta",100,"green_energy"
"2023-04","original_dta",43,"green_energy"
"2023-05","original_dta",65,"green_energy"
"2023-06","original_dta",51,"green_energy"
"2023-07","original_dta",71,"green_energy"
"2023-08","original_dta",88,"green_energy"
"2023-09","original_dta",70,"green_energy"
"2023-10","original_dta",107,"green_energy"
"2023-11","original_dta",84,"green_energy"
"2023-12","original_dta",103,"green_energy"
"2024-01","original_dta",13,"green_energy"
"2024-06","original_dta",134,"green_energy"
"2024-07","filtered_religious",391,"green_energy"
"2024-07","original_dta",4,"green_energy"
"2024-08","filtered_religious",222,"green_energy"
"2024-09","filtered_religious",205,"green_energy"
"2024-10","filtered_religious",357,"green_energy"
"2024-11","filtered_religious",462,"green_energy"
"2024-12","filtered_religious",356,"green_energy"
"2025-01","filtered_religious",265,"green_energy"
"2025-02","filtered_religious",275,"green_energy"
"2025-03","filtered_religious",378,"green_energy"
"2025-04","filtered_religious",397,"green_energy"
