"ym","data_source","n","domain"
"2021-11","original_dta",994,"poverty_social"
"2021-12","original_dta",1176,"poverty_social"
"2022-01","original_dta",727,"poverty_social"
"2022-02","original_dta",620,"poverty_social"
"2022-03","original_dta",816,"poverty_social"
"2022-04","original_dta",671,"poverty_social"
"2022-05","original_dta",608,"poverty_social"
"2022-06","original_dta",633,"poverty_social"
"2022-07","original_dta",452,"poverty_social"
"2022-08","original_dta",565,"poverty_social"
"2022-09","original_dta",601,"poverty_social"
"2022-10","original_dta",787,"poverty_social"
"2022-11","original_dta",758,"poverty_social"
"2022-12","original_dta",1007,"poverty_social"
"2023-01","original_dta",690,"poverty_social"
"2023-02","original_dta",682,"poverty_social"
"2023-03","original_dta",701,"poverty_social"
"2023-04","original_dta",750,"poverty_social"
"2023-05","original_dta",438,"poverty_social"
"2023-06","original_dta",618,"poverty_social"
"2023-07","original_dta",444,"poverty_social"
"2023-08","original_dta",572,"poverty_social"
"2023-09","original_dta",609,"poverty_social"
"2023-10","original_dta",613,"poverty_social"
"2023-11","original_dta",652,"poverty_social"
"2023-12","original_dta",1009,"poverty_social"
"2024-01","original_dta",136,"poverty_social"
"2024-06","original_dta",679,"poverty_social"
"2024-07","filtered_religious",1483,"poverty_social"
"2024-07","original_dta",64,"poverty_social"
"2024-08","filtered_religious",1398,"poverty_social"
"2024-09","filtered_religious",725,"poverty_social"
"2024-10","filtered_religious",1619,"poverty_social"
"2024-11","filtered_religious",1909,"poverty_social"
"2024-12","filtered_religious",2179,"poverty_social"
"2025-01","filtered_religious",1031,"poverty_social"
"2025-02","filtered_religious",1331,"poverty_social"
"2025-03","filtered_religious",1171,"poverty_social"
"2025-04","filtered_religious",2378,"poverty_social"
"2025-05","filtered_religious",1260,"poverty_social"
"2025-06","filtered_religious",1373,"poverty_social"
"2025-07","filtered_religious",1381,"poverty_social"
"2025-08","filtered_religious",1384,"poverty_social"
"2025-09","filtered_religious",853,"poverty_social"
"2025-10","filtered_religious",1812,"poverty_social"
"2025-11","filtered_religious",1854,"poverty_social"
"2025-12","filtered_religious",2178,"poverty_social"
"2026-01","filtered_religious",1382,"poverty_social"
"2026-02","filtered_religious",1150,"poverty_social"
"2026-03","filtered_religious",1458,"poverty_social"
"2026-04","filtered_religious",1529,"poverty_social"
"2026-05","filtered_religious",1455,"poverty_social"
"2026-06","filtered_religious",534,"poverty_social"
