"code","domain","linked","doctrinal","raw_rate","precision","adj_rate","adj_lo","adj_hi","rank_first_prob"
"ax1_link_genuine","green_energy",1559,202,12.9570237331623,88.3333333333333,14.6683287545233,13.6943551144675,16.4618672165609,1
"ax1_link_genuine","macro_aggregates",1938,94,4.85036119711042,66.6666666666667,7.27554179566563,6.24156645672543,8.94932291339778,0
"ax1_link_genuine","taxes_fiscal",14110,208,1.47413182140326,31.6666666666667,4.65515312022082,3.34358622255817,7.04308358606825,0
"ax1_link_genuine","business_comp",13143,121,0.920642166932968,35,2.63040619123705,1.93638772018405,3.86326325338578,0
"ax1_link_genuine","poverty_social",31354,586,1.86898003444537,71.6666666666667,2.60787911783074,2.28272967642666,3.13153590081055,0
"ax1_link_genuine","wages_income",9776,44,0.450081833060556,25,1.80032733224223,1.22857843576077,2.93182335248088,0
"ax1_link_genuine","unemployment",3335,30,0.899550224887556,65,1.38392342290393,1.18108431571903,1.70906406331943,0
"ax1_link_genuine","demography_econ",567,3,0.529100529100529,53.3333333333333,0.992063492063492,0.804956153892078,1.2975696640302,0
"ax1_link_genuine","inflation_prices",787,1,0.127064803049555,75,0.169419737399407,0.15013191099455,0.20142822994657,0
"ax1_link_genuine","housing",2627,1,0.0380662352493338,75,0.0507549803324451,0.0449781063781855,0.0603064989769377,0
"ax1_link_genuine","euro_changeover",243,0,0,73.3333333333333,0,0,0,0
"ax1_strict","green_energy",1559,202,12.9570237331623,88.3333333333333,14.6683287545233,13.6952667399207,16.4620896980974,1
"ax1_strict","macro_aggregates",1938,94,4.85036119711042,65,7.46209414940065,6.35915406904202,9.2496410708453,0
"ax1_strict","taxes_fiscal",14110,208,1.47413182140326,30,4.91377273801087,3.4773896930609,7.57466828308331,0
"ax1_strict","poverty_social",31354,586,1.86898003444537,53.3333333333333,3.50433756458506,2.85111043444067,4.55774477209883,0
"ax1_strict","business_comp",13143,121,0.920642166932968,30,3.06880722310989,2.1733020094752,4.71838651230094,0
"ax1_strict","wages_income",9776,44,0.450081833060556,23.3333333333333,1.9289221416881,1.29167890161875,3.2094544194093,0
"ax1_strict","unemployment",3335,30,0.899550224887556,65,1.38392342290393,1.1813662555906,1.70902560135488,0
"ax1_strict","demography_econ",567,3,0.529100529100529,53.3333333333333,0.992063492063492,0.80480971326957,1.29788329792415,0
"ax1_strict","inflation_prices",787,1,0.127064803049555,71.6666666666667,0.177299725185426,0.155239552615216,0.213637493777725,0
"ax1_strict","housing",2627,1,0.0380662352493338,75,0.0507549803324451,0.0449739346833425,0.0603064989769377,0
"ax1_strict","euro_changeover",243,0,0,65,0,0,0,0
