"audit","axis","n","agreement","kappa"
"R4","ax1_link_genuine",66,0.864,0.722
"R4","ax1_strict",66,0.848,0.703
"R1","r1_invocation",30,0.933,0.821
"R1","r2_econ_true",30,0.767,0.42
