indicator,era,estimate,lower,upper,n
I1_tone,pre,0.00925909937464709,0.00194772537414147,0.0165704733751527,24
I1_tone,post,-0.00417097024817556,-0.0161707812763095,0.00782884077995843,16
I1_rik,pre,-0.144311439257279,-0.490181772959298,0.201558894444741,24
I1_rik,post,0.599204199170324,0.0690451901725087,1.12936320816814,16
I2,pre,0.457977170802203,-0.000951484617038867,0.916905826221445,24
I2,post,-0.872946096370608,-1.7241413284641,-0.0217508642771206,16
I3,pre,0.0187593425620464,-0.131806305535966,0.169324990660059,24
I3,post,0.229044647423867,-0.0778957943325307,0.535985089180264,16
