primary_frame,actor_group,n,tone,rik,reportable
institutional,public,17365,0.54609507526621,3.2951718997495,TRUE
identity,public,7045,0.582391665610918,-0.674483110934086,TRUE
conflict,public,998,0.166386815811787,15.7621056738078,TRUE
devotional,public,9451,0.712930870101334,-3.18892699589626,TRUE
political,public,839,0.319056866002613,6.16796016669829,TRUE
devotional,creator,5014,0.728304521126562,-0.971782433249298,TRUE
institutional,creator,1417,0.582972260341779,7.17456718905826,TRUE
institutional,official,7017,0.705722943447229,-4.24267246450823,TRUE
identity,creator,498,0.684243781467093,1.12487480494859,TRUE
institutional,independent,2394,0.679295585794916,-5.20561218675961,TRUE
identity,independent,551,0.697470256716095,-5.98621573137333,TRUE
devotional,independent,1579,0.718124269099894,-3.43001271382571,TRUE
devotional,official,3141,0.754882036454721,0.737015785508728,TRUE
identity,official,1522,0.715342991339015,-5.84473370495564,TRUE
conflict,creator,131,0.278750415119355,10.3922160881837,TRUE
political,creator,139,0.400465022267369,7.61732011310485,TRUE
political,official,90,0.457292169586388,11.4169276884146,TRUE
conflict,independent,47,0.333590841530941,13.2659985768441,TRUE
political,independent,48,0.511728722433509,8.30062962328012,TRUE
conflict,official,57,0.52960964185614,-0.624419925865851,TRUE
