outlet_id,display_name,segment,k,window_start,window_end,excluded_months,input_digest,registry_hash,url_policy_hash,panel_hash,panel_version,status
ebrod_net,ebrod.net,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
epodravina_hr,ePodravina,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
estetica_hr,estetica.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
evarazdin_hr,eVaraždin,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
extravagant_com_hr,extravagant.com.hr,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
femina_hr,femina.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
fiuman_hr,Fiuman,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
geek_hr,geek.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
glas_slavonije_hr,Glas Slavonije,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
glasistre_hr,Glas Istre,regional,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
gloria_hr,Gloria,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
goodgame_hr,goodgame.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
gospodarski_hr,gospodarski.hr,national,20,2021-01,2026-08,2024-01;2024-02;2024-03,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604,1aa55999a40fd28c80e24524bcde429bcb52e74694fc6fe7080d0d1afc0d83e3,ca42b84ce10c24229dbfa52e87b4ae5aaa1ab9b144c7f90b1f3141c34ac4dbef,6a94583f52c8d45d925c09860a027d65b60bb345d5fd5304964af3dc4fe7b463,panel_v1,approved_recommended
