day,web_rows,text_rows,text_fraction,reason,mask_version,input_digest
2024-01-11,10521,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-12,10584,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-13,7057,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-14,7392,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-15,10841,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-16,11008,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-17,10835,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-18,10241,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-19,10106,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-20,7551,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-21,6819,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-22,10791,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-23,10557,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-24,11105,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-25,10597,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-26,10759,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-27,7693,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-28,7784,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-29,11002,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-30,12094,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-01-31,11680,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-01,11561,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-02,10982,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-03,7673,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-04,7435,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-05,11394,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-06,11038,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-07,10820,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2024-02-08,11292,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
