"domain","justice","charity","institution","cost_relig","devotional"
"poverty_social",0.09,0.2,0.05,0.12,0.54
"wages_income",0.31,0.11,0.09,0.25,0.23
"taxes_fiscal",0.34,0.1,0.16,0.22,0.18
"inflation_prices",0.3,0.02,0.06,0.19,0.42
"macro_aggregates",0.47,0.06,0.09,0.21,0.16
