"domain","pct_truncated","rank_full","rank_short"
"business_comp",38.1,2,2
"demography_econ",40.9,9,9
"euro_changeover",22.6,11,10
"green_energy",48.5,8,8
"housing",39,6,6
"inflation_prices",39.7,10,11
"macro_aggregates",62.6,4,4
"poverty_social",36.3,1,1
"taxes_fiscal",37.9,3,3
"unemployment",52.7,7,7
"wages_income",36.6,5,5
