"population","n","economic","doctrinal","mixed","provisional"
"keyword-linked poverty",38232,0.3852,0.3514,0.2634,TRUE
"semantic poverty (matched volume)",38232,0.091,0.7381,0.1709,TRUE
"intersection",8777,0.1619,0.641,0.1971,TRUE
