"platform","data_source","n_posts","n_economic","rho_vs_keyword"
"web","filtered_religious",302095,194074,0.791
"web","original_dta",222298,141007,0.955
"facebook","filtered_religious",76147,20315,0.834
"youtube","filtered_religious",41202,18181,0.682
"youtube","original_dta",24319,9123,0.802
