"domain","kw_yes_sem_yes","kw_yes_sem_no","kw_no_sem_yes","kw_no_sem_no"
"business_comp",7768,23648,23648,655243
"demography_econ",130,1158,1158,707861
"euro_changeover",93,314,314,709586
"green_energy",1035,2390,2390,704492
"housing",1459,4647,4647,699554
"inflation_prices",405,1202,1202,707498
"macro_aggregates",1267,5823,5823,697394
"poverty_social",8777,29455,29455,642620
"taxes_fiscal",3504,19871,19871,667061
"unemployment",711,5138,5138,699320
"wages_income",1658,12066,12066,684517
