"domain","register","share","ci_lo","ci_hi","n","provisional","n_suppressed"
"business_comp","object_institution",0.0887,0.0855,0.0916,31416,TRUE,0
"business_comp","object_cost_relig_life",0.1029,0.0997,0.1063,31416,TRUE,0
"business_comp","charity",0.2054,0.2014,0.2104,31416,TRUE,0
"business_comp","justice",0.0815,0.0783,0.0844,31416,TRUE,0
"business_comp","devotional",0.0435,0.0412,0.0457,31416,TRUE,0
"business_comp","ambiguous",0.478,0.4725,0.4835,31416,TRUE,0
"demography_econ","object_institution",0.1289,0.1104,0.1474,1288,TRUE,0
"demography_econ","object_cost_relig_life",0.0334,0.0244,0.0435,1288,TRUE,0
"demography_econ","charity",0.3766,0.3507,0.4046,1288,TRUE,0
"demography_econ","justice",0.087,0.0729,0.1035,1288,TRUE,0
"demography_econ","devotional",0.0194,0.0126,0.0272,1288,TRUE,0
"demography_econ","ambiguous",0.3548,0.3295,0.3782,1288,TRUE,0
"euro_changeover","object_institution",0.2678,0.2253,0.3077,407,TRUE,0
"euro_changeover","object_cost_relig_life",0.258,0.2167,0.3004,407,TRUE,0
"euro_changeover","charity",0.059,0.0354,0.0813,407,TRUE,0
"euro_changeover","justice",0.0762,0.0512,0.1028,407,TRUE,0
"euro_changeover","devotional",0.0025,0,0.0079,407,TRUE,0
"euro_changeover","ambiguous",0.3366,0.2878,0.3818,407,TRUE,0
"green_energy","object_institution",0.0555,0.0487,0.0629,3425,TRUE,0
"green_energy","object_cost_relig_life",0.0455,0.0387,0.0529,3425,TRUE,0
"green_energy","charity",0.0718,0.0636,0.0793,3425,TRUE,0
"green_energy","justice",0.4815,0.4651,0.4973,3425,TRUE,0
"green_energy","devotional",0.0073,0.0047,0.0106,3425,TRUE,0
"green_energy","ambiguous",0.3384,0.3225,0.3541,3425,TRUE,0
"housing","object_institution",0.2073,0.1969,0.2176,6106,TRUE,0
"housing","object_cost_relig_life",0.0855,0.0786,0.0926,6106,TRUE,0
"housing","charity",0.3015,0.2895,0.3123,6106,TRUE,0
"housing","justice",0.0418,0.0376,0.0469,6106,TRUE,0
"housing","devotional",0.0108,0.0081,0.0132,6106,TRUE,0
"housing","ambiguous",0.3531,0.3405,0.3665,6106,TRUE,0
"inflation_prices","object_institution",0.163,0.1458,0.1823,1607,TRUE,0
"inflation_prices","object_cost_relig_life",0.2906,0.2662,0.3113,1607,TRUE,0
"inflation_prices","charity",0.1008,0.0871,0.115,1607,TRUE,0
"inflation_prices","justice",0.0828,0.07,0.0957,1607,TRUE,0
"inflation_prices","devotional",0.0205,0.0134,0.0271,1607,TRUE,0
"inflation_prices","ambiguous",0.3423,0.3191,0.3648,1607,TRUE,0
"macro_aggregates","object_institution",0.1243,0.1165,0.1321,7090,TRUE,0
"macro_aggregates","object_cost_relig_life",0.0745,0.0688,0.0809,7090,TRUE,0
"macro_aggregates","charity",0.1422,0.1351,0.1508,7090,TRUE,0
"macro_aggregates","justice",0.1767,0.1683,0.1865,7090,TRUE,0
"macro_aggregates","devotional",0.0169,0.0144,0.02,7090,TRUE,0
"macro_aggregates","ambiguous",0.4654,0.4543,0.4765,7090,TRUE,0
"poverty_social","object_institution",0.0415,0.0395,0.0434,38232,TRUE,0
"poverty_social","object_cost_relig_life",0.0404,0.0387,0.0423,38232,TRUE,0
"poverty_social","charity",0.1839,0.1801,0.1882,38232,TRUE,0
"poverty_social","justice",0.1246,0.1217,0.1281,38232,TRUE,0
"poverty_social","devotional",0.2573,0.2529,0.2613,38232,TRUE,0
"poverty_social","ambiguous",0.3522,0.3479,0.3568,38232,TRUE,0
"taxes_fiscal","object_institution",0.0704,0.0671,0.0734,23375,TRUE,0
"taxes_fiscal","object_cost_relig_life",0.0679,0.0647,0.0708,23375,TRUE,0
"taxes_fiscal","charity",0.2272,0.2217,0.2328,23375,TRUE,0
"taxes_fiscal","justice",0.115,0.1107,0.1185,23375,TRUE,0
"taxes_fiscal","devotional",0.0693,0.0663,0.0732,23375,TRUE,0
"taxes_fiscal","ambiguous",0.4503,0.444,0.4561,23375,TRUE,0
"unemployment","object_institution",0.1287,0.121,0.1373,5849,TRUE,0
"unemployment","object_cost_relig_life",0.0431,0.0382,0.0485,5849,TRUE,0
"unemployment","charity",0.1995,0.1886,0.2101,5849,TRUE,0
"unemployment","justice",0.134,0.1253,0.1426,5849,TRUE,0
"unemployment","devotional",0.0742,0.0672,0.082,5849,TRUE,0
"unemployment","ambiguous",0.4204,0.4081,0.4336,5849,TRUE,0
"wages_income","object_institution",0.128,0.1221,0.1333,13724,TRUE,0
"wages_income","object_cost_relig_life",0.0836,0.0787,0.0882,13724,TRUE,0
"wages_income","charity",0.1751,0.1688,0.1815,13724,TRUE,0
"wages_income","justice",0.0816,0.0775,0.0862,13724,TRUE,0
"wages_income","devotional",0.1162,0.1109,0.1218,13724,TRUE,0
"wages_income","ambiguous",0.4155,0.4076,0.4237,13724,TRUE,0
