"stream","domain","register","share","n","provisional","n_suppressed"
"original_dta","business_comp","object_institution",0.0936,12144,TRUE,0
"original_dta","business_comp","object_cost_relig_life",0.1029,12144,TRUE,0
"original_dta","business_comp","charity",0.2181,12144,TRUE,0
"original_dta","business_comp","justice",0.06,12144,TRUE,0
"original_dta","business_comp","devotional",0.0613,12144,TRUE,0
"original_dta","business_comp","ambiguous",0.4641,12144,TRUE,0
"original_dta","demography_econ","object_institution",0.0599,434,TRUE,0
"original_dta","demography_econ","object_cost_relig_life",0.0415,434,TRUE,0
"original_dta","demography_econ","charity",0.4908,434,TRUE,0
"original_dta","demography_econ","justice",0.0507,434,TRUE,0
"original_dta","demography_econ","devotional",0.0138,434,TRUE,0
"original_dta","demography_econ","ambiguous",0.3433,434,TRUE,0
"original_dta","euro_changeover","object_institution",0.2118,288,TRUE,0
"original_dta","euro_changeover","object_cost_relig_life",0.309,288,TRUE,0
"original_dta","euro_changeover","charity",0.0556,288,TRUE,0
"original_dta","euro_changeover","justice",0.0764,288,TRUE,0
"original_dta","euro_changeover","devotional",0,288,TRUE,0
"original_dta","euro_changeover","ambiguous",0.3472,288,TRUE,0
"original_dta","green_energy","object_institution",0.0354,1213,TRUE,0
"original_dta","green_energy","object_cost_relig_life",0.0519,1213,TRUE,0
"original_dta","green_energy","charity",0.0594,1213,TRUE,0
"original_dta","green_energy","justice",0.5639,1213,TRUE,0
"original_dta","green_energy","devotional",0.0107,1213,TRUE,0
"original_dta","green_energy","ambiguous",0.2786,1213,TRUE,0
"original_dta","housing","object_institution",0.2347,3149,TRUE,0
"original_dta","housing","object_cost_relig_life",0.0594,3149,TRUE,0
"original_dta","housing","charity",0.3782,3149,TRUE,0
"original_dta","housing","justice",0.0397,3149,TRUE,0
"original_dta","housing","devotional",0.0124,3149,TRUE,0
"original_dta","housing","ambiguous",0.2756,3149,TRUE,0
"original_dta","inflation_prices","object_institution",0.1108,767,TRUE,0
"original_dta","inflation_prices","object_cost_relig_life",0.296,767,TRUE,0
"original_dta","inflation_prices","charity",0.1317,767,TRUE,0
"original_dta","inflation_prices","justice",0.0926,767,TRUE,0
"original_dta","inflation_prices","devotional",0.0378,767,TRUE,0
"original_dta","inflation_prices","ambiguous",0.3312,767,TRUE,0
"original_dta","macro_aggregates","object_institution",0.1108,1959,TRUE,0
"original_dta","macro_aggregates","object_cost_relig_life",0.0694,1959,TRUE,0
"original_dta","macro_aggregates","charity",0.1644,1959,TRUE,0
"original_dta","macro_aggregates","justice",0.1746,1959,TRUE,0
"original_dta","macro_aggregates","devotional",0.0408,1959,TRUE,0
"original_dta","macro_aggregates","ambiguous",0.44,1959,TRUE,0
"original_dta","poverty_social","object_institution",0.0537,18431,TRUE,0
"original_dta","poverty_social","object_cost_relig_life",0.0367,18431,TRUE,0
"original_dta","poverty_social","charity",0.2183,18431,TRUE,0
"original_dta","poverty_social","justice",0.1319,18431,TRUE,0
"original_dta","poverty_social","devotional",0.2006,18431,TRUE,0
"original_dta","poverty_social","ambiguous",0.3589,18431,TRUE,0
"original_dta","taxes_fiscal","object_institution",0.0861,10501,TRUE,0
"original_dta","taxes_fiscal","object_cost_relig_life",0.0549,10501,TRUE,0
"original_dta","taxes_fiscal","charity",0.2058,10501,TRUE,0
"original_dta","taxes_fiscal","justice",0.1206,10501,TRUE,0
"original_dta","taxes_fiscal","devotional",0.0847,10501,TRUE,0
"original_dta","taxes_fiscal","ambiguous",0.448,10501,TRUE,0
