"population","n","economic","doctrinal","mixed","provisional"
"keyword-linked poverty",38232,0.1925,0.5867,0.2208,TRUE
"semantic poverty (matched volume)",38232,0.0077,0.899,0.0933,TRUE
"intersection",8777,0.0163,0.8543,0.1294,TRUE
