voice,calendar,top_dates,post_lift,post_low,post_high,ratio,ratio_low,ratio_high,rik_shift,rik_low,rik_high
official,liturgical,Stepinčevo (10.02.2021.) | Uskrs (20.04.2025.) | Uskrs (17.04.2022.),7.17829768017684,1.50333022284426,11.5960270270574,1.09077033380438,1.00125133329319,1.1470925579457,4.4570716516493,1.27694777589218,7.63719552740643
official,political,Dan državnosti (30.05.2023.) | Dan državnosti (30.05.2022.) | Dan sjećanja na žrtve Domovinskog rata (18.11.2024.),-1.74072913556348,-5.27006615253581,4.43736019786833,1.09077033380438,1.00125133329319,1.1470925579457,3.53589384976252,-1.55455225138744,8.62633995091249
lay_media,liturgical,Uskrs (20.04.2025.) | Tijelovo (04.06.2026.) | Sveti Dujam (07.05.2026.),1.71612996002914,-2.69708574874155,7.34560118573135,1.01385885976091,0.934295175506864,1.12185663194077,,,
lay_media,political,Dan državnosti (30.05.2026.) | Dan sjećanja na žrtve Domovinskog rata (18.11.2025.) | Dan državnosti (30.05.2025.),0.325729741135716,-7.3238503837901,8.05636301581736,1.01385885976091,0.934295175506864,1.12185663194077,,,
creators,liturgical,Sveti Vlaho (03.02.2023.) | Svi sveti (01.11.2025.) | Stepinčevo (10.02.2023.),-2.17361435037016,-7.66982078624213,3.09340945894592,0.946465136690082,0.869163691628364,1.01523302843303,,,
creators,political,Dan pobjede i domovinske zahvalnosti (05.08.2025.) | Dan sjećanja na žrtve Domovinskog rata (18.11.2025.) | Lokalni izbori (18.05.2025.),3.35973493090516,-4.69996399654194,11.13926465488,0.946465136690082,0.869163691628364,1.01523302843303,,,
portal,liturgical,Uskrs (20.04.2025.) | Uskrs (05.04.2026.) | Božić (25.12.2024.),11.2767590232298,4.5992680035126,18.039090711307,1.1083661515203,1.01365785039693,1.20584325335785,-3.57606695878441,-7.55922255329174,0.407088635722925
portal,political,Lokalni izbori (18.05.2025.) | Dan državnosti (30.05.2026.) | Drugi krug predsjedničkih izbora (12.01.2025.),0.397110531205169,-4.58275342425197,5.78367586702058,1.1083661515203,1.01365785039693,1.20584325335785,3.93623696986318,-3.28241588622105,11.1548898259474
