instrument,source_path,sha256
eight_narrative_frames,./Church-and-dezinfo/code/01_data_preparation.R,9385b13b77a7222ee02fcbff230f72b358534292c5d76e5f26abe8be29ef23c3
sps_dictionaries,./Church-and-dezinfo/papers/demokrscanstvo_paper.qmd,60a207e03afa6e54434e8f4f9feedf9fdfb8b4d40b6218061e0704a106652d99
cst_detector,./studies/moral-economy/cst_lexicon.R,354204f2e562f5c547cd7fe9cd5908b84a89f94e160bcd7d441f2df096aee8f0
