scenario,voice,sample_n,population_weight,substance_post_share,identity_post_share,substance_reward_share,identity_reward_share,mean_sps,identity_frame_post_share,antagonistic_frame_post_share,identity_frame_reward_share,antagonistic_frame_reward_share
strict,lay_media,2505,45541,4.65574659920499,4.3317906174441,0.785265539686352,2.80097720133619,0.499401528526583,61.783246855989,21.8455180620857,61.5249708709151,18.4106329572877
strict,official,3640,70898,7.57945961416506,5.00575875502923,6.11379014681626,5.744757933461,0.599042110840489,66.5628413695874,24.6938027123379,75.7445293006999,32.5924653499385
strict,portal,2022,15339.6260991124,7.59953701676797,11.1006319804955,9.51380322445753,8.20873096289191,0.390534415626245,62.6627738201038,26.1105563294071,77.3753705358235,27.5648017712912
strict,creators,599,6501,1.04910530328293,0.92169028931485,0.657399679157799,0.86868586578013,0.532325781132921,65.2708389767977,10.4051786250397,52.5897027496658,12.9081610158159
broad,lay_media,2505,45541,4.65574659920499,4.3317906174441,0.785265539686352,2.80097720133619,0.499401528526583,61.783246855989,21.8455180620857,61.5249708709151,18.4106329572877
broad,official,3640,70898,7.57945961416506,5.00575875502923,6.11379014681626,5.744757933461,0.599042110840489,66.5628413695874,24.6938027123379,75.7445293006999,32.5924653499385
broad,portal,2256,17336,7.85180342419394,11.6987206641438,9.44678879303642,8.12158949503808,0.382336230215923,63.3005497793236,26.6078134629096,77.2441838439935,27.4647265685497
broad,creators,599,6501,1.04910530328293,0.92169028931485,0.657399679157799,0.86868586578013,0.532325781132921,65.2708389767977,10.4051786250397,52.5897027496658,12.9081610158159
